Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8352,0.1873,0.5577,0.9023,0.0977,0.4423,0.58,0.894,0.73,0.5686
0.0,Female,0.8531,0.1429,0.4872,0.9223,0.0777,0.5128,0.5429,0.9048,0.7048,0.5135
5.0,Male,0.8427,0.1348,0.4423,0.9395,0.0605,0.5577,0.6389,0.8745,0.6909,0.5227
5.0,Female,0.8041,0.1592,0.4082,0.9031,0.0969,0.5918,0.5128,0.8592,0.6556,0.4545
10.0,Male,0.8464,0.1236,0.4231,0.9488,0.0512,0.5769,0.6667,0.8718,0.686,0.5176
10.0,Female,0.7061,0.2694,0.45,0.7892,0.2108,0.55,0.4091,0.8156,0.6196,0.4286
15.0,Male,0.8352,0.1648,0.5,0.9163,0.0837,0.5,0.5909,0.8834,0.7081,0.5417
15.0,Female,0.7265,0.2327,0.4342,0.858,0.142,0.5658,0.5789,0.7713,0.6461,0.4962
20.0,Male,0.8502,0.1049,0.3846,0.9628,0.0372,0.6154,0.7143,0.8661,0.6737,0.5
20.0,Female,0.6776,0.249,0.3902,0.8221,0.1779,0.6098,0.5246,0.7283,0.6062,0.4476
25.0,Male,0.8577,0.1049,0.4038,0.9674,0.0326,0.5962,0.75,0.8703,0.6856,0.525
25.0,Female,0.6204,0.2857,0.3789,0.7733,0.2267,0.6211,0.5143,0.6629,0.5761,0.4364
30.0,Male,0.8539,0.1011,0.3846,0.9674,0.0326,0.6154,0.7407,0.8667,0.676,0.5063
30.0,Female,0.6041,0.302,0.3905,0.7643,0.2357,0.6095,0.5541,0.6257,0.5774,0.4581
35.0,Male,0.8502,0.0899,0.3462,0.9721,0.0279,0.6538,0.75,0.8601,0.6591,0.4737
35.0,Female,0.5714,0.351,0.4188,0.7109,0.2891,0.5812,0.5698,0.5723,0.5649,0.4828
40.0,Male,0.8614,0.1236,0.4615,0.9581,0.0419,0.5385,0.7273,0.8803,0.7098,0.5647
40.0,Female,0.5469,0.351,0.4,0.7,0.3,0.6,0.5814,0.5283,0.55,0.4739
45.0,Male,0.839,0.161,0.5,0.9209,0.0791,0.5,0.6047,0.8839,0.7105,0.5474
45.0,Female,0.5143,0.4163,0.438,0.6111,0.3889,0.562,0.5882,0.4615,0.5245,0.5021
50.0,Male,0.8015,0.236,0.5962,0.8512,0.1488,0.4038,0.4921,0.8971,0.7237,0.5391
50.0,Female,0.5061,0.4939,0.5,0.5155,0.4845,0.5,0.6116,0.4032,0.5077,0.5502
55.00000000000001,Male,0.8165,0.221,0.5962,0.8698,0.1302,0.4038,0.5254,0.899,0.733,0.5586
55.00000000000001,Female,0.5551,0.5551,0.5871,0.5,0.5,0.4129,0.6691,0.4128,0.5435,0.6254
60.0,Male,0.8165,0.221,0.5962,0.8698,0.1302,0.4038,0.5254,0.899,0.733,0.5586
60.0,Female,0.5633,0.6408,0.6488,0.3766,0.6234,0.3512,0.6943,0.3295,0.5127,0.6708
65.0,Male,0.8202,0.2097,0.5769,0.8791,0.1209,0.4231,0.5357,0.8957,0.728,0.5556
65.0,Female,0.5592,0.698,0.6821,0.2639,0.7361,0.3179,0.6901,0.2568,0.473,0.686
70.0,Male,0.809,0.2135,0.5577,0.8698,0.1302,0.4423,0.5088,0.8905,0.7137,0.5321
70.0,Female,0.6245,0.7306,0.7351,0.2833,0.7167,0.2649,0.7598,0.2576,0.5092,0.7473
