Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8175,0.2395,0.6471,0.8585,0.1415,0.3529,0.5238,0.91,0.7528,0.5789
0.0,Female,0.7871,0.2851,0.725,0.799,0.201,0.275,0.4085,0.9382,0.762,0.5225
5.0,Male,0.8099,0.2471,0.6471,0.8491,0.1509,0.3529,0.5077,0.9091,0.7481,0.569
5.0,Female,0.755,0.3173,0.725,0.7608,0.2392,0.275,0.3671,0.9353,0.7429,0.4874
10.0,Male,0.7072,0.4106,0.8039,0.684,0.316,0.1961,0.3796,0.9355,0.7439,0.5157
10.0,Female,0.6546,0.4578,0.85,0.6172,0.3828,0.15,0.2982,0.9556,0.7336,0.4416
15.0,Male,0.8517,0.1369,0.4706,0.9434,0.0566,0.5294,0.6667,0.8811,0.707,0.5517
15.0,Female,0.8353,0.1968,0.6,0.8804,0.1196,0.4,0.4898,0.92,0.7402,0.5393
20.0,Male,0.8517,0.1217,0.4314,0.9528,0.0472,0.5686,0.6875,0.8745,0.6921,0.5301
20.0,Female,0.8233,0.2008,0.575,0.8708,0.1292,0.425,0.46,0.9146,0.7229,0.5111
25.0,Male,0.8479,0.1179,0.4118,0.9528,0.0472,0.5882,0.6774,0.8707,0.6823,0.5122
25.0,Female,0.7831,0.249,0.6,0.8182,0.1818,0.4,0.3871,0.9144,0.7091,0.4706
30.0,Male,0.8479,0.1027,0.3725,0.9623,0.0377,0.6275,0.7037,0.8644,0.6674,0.4872
30.0,Female,0.759,0.249,0.525,0.8038,0.1962,0.475,0.3387,0.8984,0.6644,0.4118
35.0,Male,0.8555,0.0951,0.3725,0.9717,0.0283,0.6275,0.76,0.8655,0.6721,0.5
35.0,Female,0.739,0.2771,0.55,0.7751,0.2249,0.45,0.3188,0.9,0.6626,0.4037
40.0,Male,0.8517,0.0913,0.3529,0.9717,0.0283,0.6471,0.75,0.8619,0.6623,0.48
40.0,Female,0.7229,0.3414,0.7,0.7273,0.2727,0.3,0.3294,0.9268,0.7136,0.448
45.0,Male,0.8517,0.1293,0.451,0.9481,0.0519,0.549,0.6765,0.8777,0.6995,0.5412
45.0,Female,0.6466,0.4016,0.65,0.6459,0.3541,0.35,0.26,0.906,0.648,0.3714
50.0,Male,0.8555,0.1179,0.4314,0.9575,0.0425,0.5686,0.7097,0.875,0.6945,0.5366
50.0,Female,0.6145,0.4739,0.775,0.5837,0.4163,0.225,0.2627,0.9313,0.6794,0.3924
55.00000000000001,Male,0.7985,0.2586,0.6471,0.8349,0.1651,0.3529,0.4853,0.9077,0.741,0.5546
55.00000000000001,Female,0.5542,0.5502,0.825,0.5024,0.4976,0.175,0.2409,0.9375,0.6637,0.3729
60.0,Male,0.8023,0.2548,0.6471,0.8396,0.1604,0.3529,0.4925,0.9082,0.7433,0.5593
60.0,Female,0.506,0.5984,0.825,0.445,0.555,0.175,0.2215,0.93,0.635,0.3492
65.0,Male,0.8289,0.2281,0.6471,0.8726,0.1274,0.3529,0.55,0.9113,0.7599,0.5946
65.0,Female,0.4659,0.6546,0.875,0.3876,0.6124,0.125,0.2147,0.9419,0.6313,0.3448
70.0,Male,0.8289,0.2205,0.6275,0.8774,0.1226,0.3725,0.5517,0.9073,0.7524,0.5872
70.0,Female,0.3976,0.7229,0.875,0.3062,0.6938,0.125,0.1944,0.9275,0.5906,0.3182
