Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
0.0,Female,0.8171,0.2154,0.5769,0.8814,0.1186,0.4231,0.566,0.886,0.7292,0.5714
5.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
5.0,Female,0.7927,0.2154,0.5156,0.8901,0.1099,0.4844,0.6226,0.8394,0.7029,0.5641
10.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
10.0,Female,0.7724,0.2154,0.4789,0.8914,0.1086,0.5211,0.6415,0.8083,0.6852,0.5484
15.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
15.0,Female,0.752,0.2154,0.4487,0.8929,0.1071,0.5513,0.6604,0.7772,0.6708,0.5344
20.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
20.0,Female,0.7033,0.2154,0.3936,0.8947,0.1053,0.6064,0.6981,0.7047,0.6442,0.5034
25.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
25.0,Female,0.6829,0.2154,0.3737,0.8912,0.1088,0.6263,0.6981,0.6788,0.6324,0.4868
30.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
30.0,Female,0.6382,0.2154,0.3393,0.8881,0.1119,0.6607,0.717,0.6166,0.6137,0.4606
35.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
35.0,Female,0.6179,0.2154,0.3277,0.8898,0.1102,0.6723,0.7358,0.5855,0.6087,0.4535
40.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
40.0,Female,0.5772,0.2154,0.3023,0.8803,0.1197,0.6977,0.7358,0.5337,0.5913,0.4286
45.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
45.0,Female,0.565,0.2154,0.2985,0.8839,0.1161,0.7015,0.7547,0.513,0.5912,0.4278
50.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
50.0,Female,0.5528,0.2154,0.3007,0.9029,0.0971,0.6993,0.8113,0.4819,0.6018,0.4388
55.00000000000001,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
55.00000000000001,Female,0.4919,0.2154,0.275,0.8953,0.1047,0.725,0.8302,0.399,0.5852,0.4131
60.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
60.0,Female,0.4675,0.2154,0.2706,0.9079,0.0921,0.7294,0.8679,0.3575,0.5892,0.4126
65.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
65.0,Female,0.435,0.2154,0.2663,0.9355,0.0645,0.7337,0.9245,0.3005,0.6009,0.4135
70.0,Male,0.8571,0.1466,0.5128,0.9163,0.0837,0.4872,0.5128,0.9163,0.7146,0.5128
70.0,Female,0.4065,0.2154,0.2565,0.9273,0.0727,0.7435,0.9245,0.2642,0.5919,0.4016
