Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
0.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
5.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
5.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
10.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
10.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
15.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
15.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
20.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
20.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
25.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
25.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
30.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
30.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
35.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
35.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
40.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
40.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
45.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
45.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
50.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
50.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
55.00000000000001,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
55.00000000000001,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
60.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
60.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
65.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
65.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
70.0,Male,0.8327,0.1594,0.48,0.9204,0.0796,0.52,0.6,0.8768,0.7002,0.5333
70.0,Female,0.8467,0.1341,0.439,0.9227,0.0773,0.561,0.5143,0.8982,0.6809,0.4737
