Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.797,0.2519,0.6667,0.8194,0.1806,0.3333,0.3881,0.9347,0.743,0.4906
0.0,Female,0.8211,0.2439,0.6538,0.866,0.134,0.3462,0.5667,0.9032,0.7599,0.6071
5.0,Male,0.812,0.2143,0.5897,0.8502,0.1498,0.4103,0.4035,0.9234,0.72,0.4792
5.0,Female,0.7846,0.2967,0.6562,0.8297,0.1703,0.3438,0.5753,0.8728,0.743,0.6131
10.0,Male,0.8158,0.2105,0.5897,0.8546,0.1454,0.4103,0.4107,0.9238,0.7222,0.4842
10.0,Female,0.7033,0.3659,0.6197,0.7371,0.2629,0.3803,0.4889,0.8269,0.6784,0.5466
15.0,Male,0.8233,0.1955,0.5641,0.8678,0.1322,0.4359,0.4231,0.9206,0.716,0.4835
15.0,Female,0.6423,0.439,0.6282,0.6488,0.3512,0.3718,0.4537,0.7899,0.6385,0.5269
20.0,Male,0.8383,0.188,0.5897,0.8811,0.1189,0.4103,0.46,0.9259,0.7354,0.5169
20.0,Female,0.622,0.5163,0.6809,0.5855,0.4145,0.3191,0.5039,0.7479,0.6332,0.5792
25.0,Male,0.8421,0.1617,0.5128,0.8987,0.1013,0.4872,0.4651,0.9148,0.7057,0.4878
25.0,Female,0.5407,0.6016,0.6768,0.449,0.551,0.3232,0.4527,0.6735,0.5629,0.5425
30.0,Male,0.8459,0.1729,0.5641,0.8943,0.1057,0.4359,0.4783,0.9227,0.7292,0.5176
30.0,Female,0.5407,0.6463,0.7054,0.403,0.597,0.2946,0.4969,0.6207,0.5542,0.583
35.0,Male,0.8571,0.1617,0.5641,0.9075,0.0925,0.4359,0.5116,0.9238,0.7358,0.5366
35.0,Female,0.5366,0.7276,0.7731,0.315,0.685,0.2269,0.514,0.597,0.544,0.6174
40.0,Male,0.8571,0.1692,0.5897,0.9031,0.0969,0.4103,0.5111,0.9276,0.7464,0.5476
40.0,Female,0.5407,0.7724,0.7984,0.2564,0.7436,0.2016,0.5421,0.5357,0.5274,0.6458
45.0,Male,0.8571,0.1692,0.5897,0.9031,0.0969,0.4103,0.5111,0.9276,0.7464,0.5476
45.0,Female,0.5407,0.7927,0.806,0.2232,0.7768,0.194,0.5538,0.4902,0.5146,0.6565
50.0,Male,0.8534,0.1654,0.5641,0.9031,0.0969,0.4359,0.5,0.9234,0.7336,0.5301
50.0,Female,0.5813,0.8374,0.8601,0.1942,0.8058,0.1399,0.5971,0.5,0.5272,0.7049
55.00000000000001,Male,0.8647,0.1541,0.5641,0.9163,0.0837,0.4359,0.5366,0.9244,0.7402,0.55
55.00000000000001,Female,0.6138,0.874,0.875,0.1279,0.8721,0.125,0.6512,0.3548,0.5015,0.7467
60.0,Male,0.8609,0.1353,0.4872,0.9251,0.0749,0.5128,0.5278,0.913,0.7061,0.5067
60.0,Female,0.6463,0.9146,0.9059,0.0658,0.9342,0.0941,0.6844,0.2381,0.4858,0.7797
65.0,Male,0.8609,0.1504,0.5385,0.9163,0.0837,0.4615,0.525,0.9204,0.7274,0.5316
65.0,Female,0.7154,0.9187,0.9239,0.0968,0.9032,0.0761,0.7522,0.3,0.5103,0.8293
70.0,Male,0.8647,0.1241,0.4615,0.9339,0.0661,0.5385,0.5455,0.9099,0.6977,0.5
70.0,Female,0.7602,0.9431,0.9529,0.0909,0.9091,0.0471,0.7845,0.3571,0.5219,0.8605
