Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.809,0.2285,0.5962,0.8605,0.1395,0.4038,0.5082,0.8981,0.7283,0.5487
0.0,Female,0.7878,0.249,0.6154,0.8204,0.1796,0.3846,0.3934,0.9185,0.7179,0.48
5.0,Male,0.8015,0.236,0.5962,0.8512,0.1488,0.4038,0.4921,0.8971,0.7237,0.5391
5.0,Female,0.7837,0.2694,0.6667,0.8058,0.1942,0.3333,0.3939,0.9274,0.7362,0.4952
10.0,Male,0.809,0.221,0.5769,0.8651,0.1349,0.4231,0.5085,0.8942,0.721,0.5405
10.0,Female,0.6694,0.3837,0.6667,0.6699,0.3301,0.3333,0.2766,0.9139,0.6683,0.391
15.0,Male,0.8202,0.2097,0.5769,0.8791,0.1209,0.4231,0.5357,0.8957,0.728,0.5556
15.0,Female,0.6163,0.4531,0.7179,0.5971,0.4029,0.2821,0.2523,0.9179,0.6575,0.3733
20.0,Male,0.8277,0.2022,0.5769,0.8884,0.1116,0.4231,0.5556,0.8967,0.7326,0.566
20.0,Female,0.5837,0.4857,0.7179,0.5583,0.4417,0.2821,0.2353,0.9127,0.6381,0.3544
25.0,Male,0.8277,0.1798,0.5192,0.9023,0.0977,0.4808,0.5625,0.8858,0.7108,0.54
25.0,Female,0.5143,0.5714,0.7692,0.466,0.534,0.2308,0.2143,0.9143,0.6176,0.3352
30.0,Male,0.8352,0.1798,0.5385,0.907,0.093,0.4615,0.5833,0.8904,0.7227,0.56
30.0,Female,0.4612,0.6327,0.7949,0.3981,0.6019,0.2051,0.2,0.9111,0.5965,0.3196
35.0,Male,0.8352,0.1798,0.5385,0.907,0.093,0.4615,0.5833,0.8904,0.7227,0.56
35.0,Female,0.4122,0.6898,0.8205,0.335,0.665,0.1795,0.1893,0.9079,0.5777,0.3077
40.0,Male,0.8352,0.1798,0.5385,0.907,0.093,0.4615,0.5833,0.8904,0.7227,0.56
40.0,Female,0.3265,0.7755,0.8205,0.233,0.767,0.1795,0.1684,0.8727,0.5268,0.2795
45.0,Male,0.839,0.161,0.5,0.9209,0.0791,0.5,0.6047,0.8839,0.7105,0.5474
45.0,Female,0.3061,0.8041,0.8462,0.2039,0.7961,0.1538,0.1675,0.875,0.525,0.2797
50.0,Male,0.8464,0.1461,0.4808,0.9349,0.0651,0.5192,0.641,0.8816,0.7078,0.5495
50.0,Female,0.2735,0.8531,0.8974,0.1553,0.8447,0.1026,0.1675,0.8889,0.5264,0.2823
55.00000000000001,Male,0.8427,0.1348,0.4423,0.9395,0.0605,0.5577,0.6389,0.8745,0.6909,0.5227
55.00000000000001,Female,0.2286,0.9306,1.0,0.0825,0.9175,0.0,0.1711,1.0,0.5413,0.2921
60.0,Male,0.839,0.1311,0.4231,0.9395,0.0605,0.5769,0.6286,0.8707,0.6813,0.5057
60.0,Female,0.2163,0.9429,1.0,0.068,0.932,0.0,0.1688,1.0,0.534,0.2889
65.0,Male,0.8352,0.1273,0.4038,0.9395,0.0605,0.5962,0.6176,0.867,0.6717,0.4884
65.0,Female,0.1878,0.9714,1.0,0.034,0.966,0.0,0.1639,1.0,0.517,0.2816
70.0,Male,0.8427,0.1199,0.4038,0.9488,0.0512,0.5962,0.6562,0.8681,0.6763,0.5
70.0,Female,0.1959,0.9633,1.0,0.0437,0.9563,0.0,0.1653,1.0,0.5218,0.2836
