Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
0.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
5.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
5.0,Female,0.7313,0.3128,0.5893,0.7778,0.2222,0.4107,0.4648,0.8526,0.6835,0.5197
10.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
10.0,Female,0.7004,0.3128,0.5231,0.7716,0.2284,0.4769,0.4789,0.8013,0.6473,0.5
15.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
15.0,Female,0.6872,0.3128,0.5,0.7852,0.2148,0.5,0.5493,0.75,0.6426,0.5235
20.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
20.0,Female,0.6828,0.3128,0.4941,0.7958,0.2042,0.5059,0.5915,0.7244,0.6449,0.5385
25.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
25.0,Female,0.6432,0.3128,0.449,0.7907,0.2093,0.551,0.6197,0.6538,0.6198,0.5207
30.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
30.0,Female,0.5991,0.3128,0.4107,0.7826,0.2174,0.5893,0.6479,0.5769,0.5967,0.5027
35.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
35.0,Female,0.5815,0.3128,0.4016,0.7905,0.2095,0.5984,0.6901,0.5321,0.5961,0.5078
40.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
40.0,Female,0.5595,0.3128,0.3893,0.7917,0.2083,0.6107,0.7183,0.4872,0.5905,0.505
45.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
45.0,Female,0.5419,0.3128,0.3813,0.7955,0.2045,0.6187,0.7465,0.4487,0.5884,0.5048
50.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
50.0,Female,0.5198,0.3128,0.3699,0.7901,0.2099,0.6301,0.7606,0.4103,0.58,0.4977
55.00000000000001,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
55.00000000000001,Female,0.5022,0.3128,0.3618,0.7867,0.2133,0.6382,0.7746,0.3782,0.5743,0.4933
60.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
60.0,Female,0.4978,0.3128,0.3665,0.8182,0.1818,0.6335,0.831,0.3462,0.5923,0.5086
65.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
65.0,Female,0.489,0.3128,0.3653,0.8333,0.1667,0.6347,0.8592,0.3205,0.5993,0.5126
70.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
70.0,Female,0.467,0.3128,0.358,0.8431,0.1569,0.642,0.8873,0.2756,0.6005,0.5101
