Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
0.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
5.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
5.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
10.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
10.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
15.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
15.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
20.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
20.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
25.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
25.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
30.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
30.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
35.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
35.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
40.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
40.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
45.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
45.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
50.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
50.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
55.00000000000001,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
55.00000000000001,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
60.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
60.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
65.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
65.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
70.0,Male,0.7544,0.3123,0.6863,0.7692,0.2308,0.3137,0.3933,0.9184,0.7278,0.5
70.0,Female,0.7665,0.3128,0.725,0.7754,0.2246,0.275,0.4085,0.9295,0.7502,0.5225
