Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.80946,0.007343571640860085,0.8358599999999999,0.004177378231485497
5.0,Male,Accuracy,0.8192599999999999,0.004657233322716631,0.8408100000000001,0.005050422424576647
10.0,Male,Accuracy,0.8228499999999999,0.0032230851334983024,0.8303200000000001,0.013968096983244825
15.0,Male,Accuracy,0.8280900000000001,0.002502995982595427,0.84842,0.00328707232114604
20.0,Male,Accuracy,0.8300600000000001,0.004051424989364166,0.85169,0.003490859493018881
25.0,Male,Accuracy,0.8332599999999999,0.0028108598921563668,0.8492,0.0025294707395465644
30.0,Male,Accuracy,0.83697,0.0032107129703194837,0.8495799999999999,0.0027859488708716655
35.0,Male,Accuracy,0.84146,0.003098142812862069,0.85031,0.0028760486010419918
40.0,Male,Accuracy,0.83992,0.0038556106304103535,0.8469800000000001,0.003028230139500267
45.0,Male,Accuracy,0.84261,0.0035263909785123596,0.84116,0.003671669314570084
50.0,Male,Accuracy,0.8470500000000001,0.002861011864513832,0.83795,0.006236723676917416
55.00000000000001,Male,Accuracy,0.8469300000000001,0.003224422428901029,0.8264699999999999,0.006572451766443194
60.0,Male,Accuracy,0.8481500000000001,0.0034970225430595494,0.8203099999999999,0.004645606048252
65.0,Male,Accuracy,0.8483799999999999,0.002833796040649359,0.8177100000000002,0.003175477216979439
70.0,Male,Accuracy,0.8474299999999999,0.0032020843905875545,0.81592,0.003794815176292813
0.0,Male,Selection rate,0.23756,0.009293393113150632,0.18224,0.009914705128130526
5.0,Male,Selection rate,0.22129,0.0064154752140603115,0.17341,0.0138772751888354
10.0,Male,Selection rate,0.21313999999999997,0.0050483484648172015,0.17223,0.028532835081319517
15.0,Male,Selection rate,0.20728999999999997,0.005877914407149681,0.13625,0.007540177569379766
20.0,Male,Selection rate,0.19946999999999998,0.004971341200655344,0.12321,0.006581766902250153
25.0,Male,Selection rate,0.18651,0.006567723265248688,0.11849999999999998,0.006242577815115945
30.0,Male,Selection rate,0.18417,0.006134330534875922,0.11928999999999998,0.008778780603756359
35.0,Male,Selection rate,0.17832,0.004791863474219143,0.11857,0.008691145558044181
40.0,Male,Selection rate,0.17246,0.005917867483777882,0.12000999999999999,0.010073082392638754
45.0,Male,Selection rate,0.16458,0.006249529760087732,0.14629,0.014722805061838212
50.0,Male,Selection rate,0.15494,0.005779123347590589,0.16329000000000002,0.017144616582991226
55.00000000000001,Male,Selection rate,0.15038,0.0063680766327047274,0.19405,0.0167495820843387
60.0,Male,Selection rate,0.14395,0.005317983118104499,0.20937999999999998,0.011479545093580821
65.0,Male,Selection rate,0.13999,0.005015009693133426,0.21539000000000003,0.0060421013636721525
70.0,Male,Selection rate,0.13509000000000002,0.005856154407496821,0.21433999999999997,0.005654697162536646
0.0,Male,TPR,0.62636,0.013575993517971344,0.54775,0.019235847611512556
5.0,Male,TPR,0.60752,0.01050221987116163,0.53824,0.02666618832904321
10.0,Male,TPR,0.59584,0.008659935847850657,0.50682,0.039858660846100236
15.0,Male,TPR,0.59365,0.015785374735987602,0.45874000000000004,0.01884841402110828
20.0,Male,TPR,0.5792599999999999,0.016893879233484402,0.43360000000000004,0.02091465727400018
25.0,Male,TPR,0.55235,0.016870719210118654,0.41287,0.015828378522977856
30.0,Male,TPR,0.55719,0.014943429994482524,0.417,0.023980269667652473
35.0,Male,TPR,0.55363,0.014363665966597803,0.41763000000000006,0.022912025226941423
40.0,Male,TPR,0.53488,0.019000630398898752,0.41421,0.02998824010248758
45.0,Male,TPR,0.52157,0.020021744013280492,0.47014999999999996,0.0347518448750886
50.0,Male,TPR,0.5074799999999999,0.021162549730859723,0.50518,0.035768001839011854
55.00000000000001,Male,TPR,0.49557,0.02185005491983944,0.55562,0.030548827218805703
60.0,Male,TPR,0.48008999999999996,0.018458623097800837,0.5803,0.02107854095730748
65.0,Male,TPR,0.47152000000000005,0.018582792518289003,0.58881,0.01370542025785581
70.0,Male,TPR,0.45448999999999995,0.01782110141252654,0.58181,0.015572321956314382
0.0,Male,TNR,0.8523999999999999,0.010985707886967403,0.9022600000000001,0.00733900084025975
5.0,Male,TNR,0.8682700000000001,0.007079454624318015,0.91076,0.010783971645198466
10.0,Male,TNR,0.8754099999999999,0.00532911187097187,0.90504,0.025978444911118132
15.0,Male,TNR,0.8822500000000002,0.004605123957795992,0.9383900000000001,0.005303718821104051
20.0,Male,TNR,0.88825,0.004250496703000978,0.9484700000000001,0.004332873052477866
25.0,Male,TNR,0.8981299999999999,0.004437142473860103,0.9498400000000002,0.004833268965088631
30.0,Male,TNR,0.9018999999999998,0.005055448106306259,0.9496600000000003,0.00636984562868939
35.0,Male,TNR,0.9082500000000001,0.0033237278268033123,0.9506,0.0066640995057263485
40.0,Male,TNR,0.9109200000000002,0.004514047210898688,0.9477,0.0069915027791678025
45.0,Male,TNR,0.91745,0.004843420508506594,0.92792,0.011128849396451052
50.0,Male,TNR,0.92621,0.004238276641382543,0.9153900000000001,0.013663360982325448
55.00000000000001,Male,TNR,0.9288700000000001,0.004249027339678266,0.8893000000000001,0.013780170939110702
60.0,Male,TNR,0.9335200000000002,0.0036689023487201785,0.87622,0.01003022986332373
65.0,Male,TNR,0.9361799999999999,0.0036877816276636205,0.87081,0.00521605321206668
70.0,Male,TNR,0.9385399999999999,0.003988321841465544,0.87048,0.00566291640607755
0.0,Male,FPR,0.1476,0.010985707886967401,0.09774000000000001,0.00733900084025975
5.0,Male,FPR,0.13173,0.007079454624318017,0.08924,0.010783971645198464
10.0,Male,FPR,0.12459,0.005329111870971872,0.09496,0.025978444911118143
15.0,Male,FPR,0.11775000000000002,0.004605123957795996,0.06161,0.00530371882110405
20.0,Male,FPR,0.11175000000000002,0.004250496703000982,0.05153,0.004332873052477869
25.0,Male,FPR,0.10186999999999999,0.0044371424738601,0.05016,0.004833268965088627
30.0,Male,FPR,0.09809999999999999,0.0050554481063062595,0.05034000000000001,0.00636984562868939
35.0,Male,FPR,0.09175000000000001,0.003323727826803312,0.04939999999999999,0.006664099505726352
40.0,Male,FPR,0.08907999999999998,0.004514047210898688,0.0523,0.006991502779167802
45.0,Male,FPR,0.08254999999999998,0.004843420508506588,0.07208,0.01112884939645105
50.0,Male,FPR,0.07379,0.004238276641382543,0.08460999999999999,0.013663360982325443
55.00000000000001,Male,FPR,0.07113,0.004249027339678263,0.11069999999999999,0.0137801709391107
60.0,Male,FPR,0.06648000000000001,0.0036689023487201785,0.12378,0.010030229863323725
65.0,Male,FPR,0.06382000000000002,0.003687781627663619,0.12919,0.005216053212066677
70.0,Male,FPR,0.06146,0.003988321841465544,0.12952000000000002,0.005662916406077545
0.0,Male,FNR,0.37363999999999997,0.013575993517971344,0.45224999999999993,0.019235847611512556
5.0,Male,FNR,0.39248,0.010502219871161629,0.46175999999999995,0.026666188329043203
10.0,Male,FNR,0.40415999999999996,0.008659935847850655,0.49318000000000006,0.039858660846100236
15.0,Male,FNR,0.40634999999999993,0.0157853747359876,0.54126,0.018848414021108276
20.0,Male,FNR,0.42074,0.016893879233484402,0.5664,0.020914657274000183
25.0,Male,FNR,0.44765,0.016870719210118654,0.5871299999999999,0.015828378522977856
30.0,Male,FNR,0.44281,0.014943429994482524,0.583,0.023980269667652473
35.0,Male,FNR,0.44637000000000004,0.0143636659665978,0.5823699999999998,0.022912025226941416
40.0,Male,FNR,0.46512000000000003,0.01900063039889876,0.58579,0.02998824010248758
45.0,Male,FNR,0.47843,0.020021744013280496,0.52985,0.0347518448750886
50.0,Male,FNR,0.49252,0.02116254973085973,0.49482,0.035768001839011854
55.00000000000001,Male,FNR,0.5044299999999999,0.021850054919839445,0.44438000000000005,0.030548827218805707
60.0,Male,FNR,0.5199100000000001,0.018458623097800837,0.4197,0.021078540957307473
65.0,Male,FNR,0.5284800000000001,0.018582792518289,0.41119000000000006,0.013705420257855809
70.0,Male,FNR,0.54551,0.017821101412526543,0.41819000000000006,0.015572321956314387
0.0,Male,PPV,0.4992799999999999,0.020838670249749093,0.56781,0.012318382379372881
5.0,Male,PPV,0.51788,0.018603869370524925,0.59158,0.017271606757913404
10.0,Male,PPV,0.52598,0.01553828819400644,0.59292,0.03087490818699799
15.0,Male,PPV,0.53802,0.015248911072233614,0.6360899999999999,0.018938599326361077
20.0,Male,PPV,0.54438,0.014805177772957975,0.6624899999999999,0.019170773183271577
25.0,Male,PPV,0.55616,0.01264860290923687,0.65933,0.024883158293646467
30.0,Male,PPV,0.5684699999999998,0.01409468024153478,0.6640699999999999,0.026489637596615025
35.0,Male,PPV,0.5818099999999999,0.011002822365193392,0.6707599999999999,0.028765033557351456
40.0,Male,PPV,0.5812200000000001,0.013481129197676444,0.65447,0.025106179186274703
45.0,Male,PPV,0.5941400000000001,0.01423006363693118,0.61606,0.022263448869291463
50.0,Male,PPV,0.61357,0.015837740088507295,0.59826,0.02687006264724119
55.00000000000001,Male,PPV,0.6169899999999999,0.012470226318894316,0.5512199999999999,0.022773233801499905
60.0,Male,PPV,0.6250300000000001,0.015348188818228681,0.52504,0.017392502854838218
65.0,Male,PPV,0.63063,0.01439819471708558,0.51318,0.012553235970590743
70.0,Male,PPV,0.6314599999999999,0.014448377071491459,0.50959,0.0151648896394856
0.0,Male,NPV,0.9079999999999998,0.0038942122295643903,0.89649,0.00437699668722744
5.0,Male,NPV,0.9056000000000001,0.002845190874284377,0.8956500000000001,0.005679637116733583
10.0,Male,NPV,0.90364,0.0030619964438617846,0.89008,0.00730749691146778
15.0,Male,NPV,0.9040900000000003,0.003774930462935704,0.88263,0.0044249808536936715
20.0,Male,NPV,0.9013300000000001,0.004695791259793768,0.8788600000000001,0.005228579581917487
25.0,Male,NPV,0.8969100000000001,0.004195988825321416,0.87531,0.0036325519037356223
30.0,Male,NPV,0.8980500000000001,0.0044093650336528055,0.87611,0.005238117770514306
35.0,Male,NPV,0.89789,0.0044925234185996905,0.8762399999999999,0.005214109064196237
40.0,Male,NPV,0.8942399999999999,0.005397760852633449,0.8751900000000001,0.006844778220577265
45.0,Male,NPV,0.8921999999999999,0.005670292957354338,0.8836700000000001,0.007514091206970186
50.0,Male,NPV,0.8904099999999999,0.005727971329847553,0.8896000000000001,0.0072604866687204055
55.00000000000001,Male,NPV,0.8882399999999999,0.006049980716222708,0.8970999999999998,0.006157596933869573
60.0,Male,NPV,0.8859199999999999,0.0051704029501255175,0.90052,0.005006213916501951
65.0,Male,NPV,0.88436,0.005580326553566957,0.9016100000000001,0.0041368654263289235
70.0,Male,NPV,0.8815500000000001,0.005071100034071068,0.89998,0.004610538652550987
0.0,Male,ROC AUC,0.73938,0.005943657684176188,0.725,0.006656959599630375
5.0,Male,ROC AUC,0.7379,0.004980227571774881,0.7244999999999999,0.008599689916890417
10.0,Male,ROC AUC,0.7356400000000001,0.0036656422811471054,0.7059300000000001,0.00820078654764285
15.0,Male,ROC AUC,0.7379399999999999,0.006888496046146636,0.6985500000000001,0.007687106810179696
20.0,Male,ROC AUC,0.73375,0.008175508818687949,0.69104,0.009200642489642896
25.0,Male,ROC AUC,0.72523,0.007034455676643838,0.68136,0.006825022588485214
30.0,Male,ROC AUC,0.72953,0.0060619038080274605,0.6833400000000001,0.009769307947740096
35.0,Male,ROC AUC,0.73092,0.006335995931536293,0.6841100000000001,0.009330755001010847
40.0,Male,ROC AUC,0.7228899999999999,0.008411268235726,0.68095,0.012237894245153265
45.0,Male,ROC AUC,0.7195199999999999,0.008507392863464884,0.6990300000000002,0.012177447734781424
50.0,Male,ROC AUC,0.71684,0.009164293026014975,0.7102700000000001,0.012344157862460013
55.00000000000001,Male,ROC AUC,0.7122200000000001,0.009236002021076726,0.72245,0.009258272577058373
60.0,Male,ROC AUC,0.7068099999999999,0.00830266958406886,0.72824,0.006351573733248226
65.0,Male,ROC AUC,0.70387,0.007916158580186905,0.72983,0.005456210528685032
70.0,Male,ROC AUC,0.6965000000000001,0.007532448325596243,0.72614,0.006882331646243792
0.0,Male,F1,0.5521699999999999,0.01339126622508533,0.5543500000000001,0.008793852019071806
5.0,Male,F1,0.5571499999999999,0.012182685801305606,0.55671,0.00942976905573219
10.0,Male,F1,0.5571600000000001,0.009459048577949047,0.5274300000000001,0.007924267228653453
15.0,Male,F1,0.56279,0.012192533689835671,0.5294900000000001,0.012515327935509054
20.0,Male,F1,0.5597299999999998,0.012870146765976587,0.5203800000000001,0.014669217959917139
25.0,Male,F1,0.55248,0.010837884172352708,0.5046999999999999,0.013564799216272155
30.0,Male,F1,0.5605499999999999,0.008842828230329431,0.5062199999999999,0.015442853794986637
35.0,Male,F1,0.5659099999999999,0.00873795615563375,0.50775,0.01629301997789237
40.0,Male,F1,0.55447,0.011526597744154845,0.4981299999999999,0.01898082102193334
45.0,Male,F1,0.55216,0.011102444175345656,0.51993,0.014113713189660608
50.0,Male,F1,0.5519200000000001,0.013198752466300237,0.5337799999999999,0.016465120035328556
55.00000000000001,Male,F1,0.54588,0.011768279398450729,0.5428400000000001,0.01017558297538224
60.0,Male,F1,0.54059,0.012807848722126945,0.5462100000000001,0.008584177304785823
65.0,Male,F1,0.5362899999999999,0.011124681768232498,0.54679,0.008872722869058351
70.0,Male,F1,0.52577,0.011571642061522641,0.54125,0.011229279684032378
0.0,Female,Accuracy,0.80335,0.00629566429289944,0.8288500000000001,0.009381758304757628
5.0,Female,Accuracy,0.76813,0.012889462104111762,0.8165000000000001,0.014379947457793049
10.0,Female,Accuracy,0.7146199999999999,0.011224158468826666,0.7896000000000001,0.02079131228822911
15.0,Female,Accuracy,0.65987,0.010357027136737213,0.8105100000000001,0.011992668593770118
20.0,Female,Accuracy,0.60949,0.01290794286045956,0.77831,0.01357742775508102
25.0,Female,Accuracy,0.54846,0.015419375978150197,0.78091,0.009666660344825525
30.0,Female,Accuracy,0.49442,0.013791992846092503,0.7558500000000001,0.007406082335186096
35.0,Female,Accuracy,0.4347800000000001,0.007829230131018274,0.70303,0.011433129735796561
40.0,Female,Accuracy,0.38588999999999996,0.01023912376893431,0.69005,0.008576482703040653
45.0,Female,Accuracy,0.35909,0.010453595341104203,0.62883,0.007125853555111056
50.0,Female,Accuracy,0.30166000000000004,0.010279669255379768,0.5888099999999998,0.006116070815664433
55.00000000000001,Female,Accuracy,0.2882,0.01144740630497193,0.5444199999999999,0.009448995243469606
60.0,Female,Accuracy,0.24875000000000003,0.008316279216091774,0.48441,0.012158430545647463
65.0,Female,Accuracy,0.22598,0.010039796368010216,0.42851999999999996,0.01115907005285138
70.0,Female,Accuracy,0.20511,0.008710880169841237,0.37603,0.010074236116616155
0.0,Female,Selection rate,0.24103,0.010094795688868598,0.19322999999999999,0.016723536640847764
5.0,Female,Selection rate,0.29456,0.014022531076013978,0.2129,0.02045343763554457
10.0,Female,Selection rate,0.35897999999999997,0.013473016654698298,0.24742000000000003,0.030625014467116757
15.0,Female,Selection rate,0.42447,0.012454192065324833,0.22321,0.015608896679636122
20.0,Female,Selection rate,0.48146000000000005,0.01570141677966956,0.26358000000000004,0.01620759629858104
25.0,Female,Selection rate,0.5538100000000001,0.01715450345795205,0.25505999999999995,0.010349376792831537
30.0,Female,Selection rate,0.61954,0.016730645202408932,0.28447000000000006,0.009187298599455425
35.0,Female,Selection rate,0.68403,0.010524976115042838,0.34549,0.01399253332634548
40.0,Female,Selection rate,0.7469100000000001,0.008560496480929125,0.36389,0.010317078074726387
45.0,Female,Selection rate,0.77539,0.008784676684115613,0.43355000000000005,0.01064508493781676
50.0,Female,Selection rate,0.8411900000000001,0.006755597678962236,0.4862,0.010839813446529211
55.00000000000001,Female,Selection rate,0.8623100000000001,0.013267935031496043,0.5468600000000001,0.01153735190105983
60.0,Female,Selection rate,0.9039400000000001,0.006970480614706561,0.61665,0.01296374645780386
65.0,Female,Selection rate,0.9319200000000001,0.006643255560675391,0.68932,0.012853584022451573
70.0,Female,Selection rate,0.95185,0.005786041632910856,0.7474400000000001,0.010141566830513801
0.0,Female,TPR,0.6314299999999999,0.016612224748994674,0.56426,0.027724017666196137
5.0,Female,TPR,0.68509,0.017265665672400555,0.58355,0.030461765652480922
10.0,Female,TPR,0.72038,0.01851274515930399,0.6099499999999999,0.035071999752889285
15.0,Female,TPR,0.7516700000000001,0.01791579718820486,0.60027,0.01803659274302598
20.0,Female,TPR,0.77083,0.01616098903739083,0.62487,0.012557220587729153
25.0,Female,TPR,0.80565,0.01763887909011101,0.60439,0.0160331146901239
30.0,Female,TPR,0.8409699999999999,0.017947330658841097,0.61855,0.01824673030070502
35.0,Female,TPR,0.8555599999999999,0.01722764058134485,0.6410499999999999,0.023887501380894193
40.0,Female,TPR,0.89571,0.017375733078060333,0.65821,0.016690086545278576
45.0,Female,TPR,0.9026099999999999,0.012429949941796052,0.6827500000000001,0.017762540171195485
50.0,Female,TPR,0.9274899999999999,0.01302339305506314,0.7215800000000001,0.02062637362429201
55.00000000000001,Female,TPR,0.9509399999999999,0.01567603407895136,0.77237,0.017390559699637802
60.0,Female,TPR,0.95741,0.0076655716609323335,0.8001199999999999,0.014958117825745621
65.0,Female,TPR,0.9729899999999999,0.00950932232659673,0.8524900000000001,0.0194067997819779
70.0,Female,TPR,0.97035,0.007430302072519583,0.8686300000000001,0.0198421551808825
0.0,Female,TNR,0.8375199999999999,0.009562540341236625,0.88134,0.014852505961396993
5.0,Female,TNR,0.78433,0.015822628310956006,0.8623000000000001,0.020142001445293913
10.0,Female,TNR,0.7134900000000001,0.014411996931569042,0.8256400000000002,0.03085337798901983
15.0,Female,TNR,0.6413700000000001,0.013121602629082912,0.8526199999999999,0.01652126441219853
20.0,Female,TNR,0.5768599999999999,0.01654615228853994,0.8090800000000001,0.01791499558098373
25.0,Female,TNR,0.49666,0.01906548481185598,0.8155000000000001,0.011035166010934717
30.0,Female,TNR,0.42499000000000003,0.017703166383446777,0.7828999999999999,0.00905500475489169
35.0,Female,TNR,0.35037999999999997,0.010243651692633833,0.71456,0.014220862608623056
40.0,Female,TNR,0.28348000000000007,0.009526673664564724,0.69558,0.010194844012756865
45.0,Female,TNR,0.25033999999999995,0.010302493764995825,0.6169,0.009305004627140763
50.0,Female,TNR,0.17648999999999998,0.008353993722233163,0.56127,0.009001691816295175
55.00000000000001,Female,TNR,0.15562,0.013625497340566242,0.49832,0.011904945750961375
60.0,Female,TNR,0.10693000000000001,0.007590608964005748,0.42049000000000003,0.014288678113185358
65.0,Female,TNR,0.07665000000000001,0.007646673205460731,0.34347000000000005,0.013555737202790233
70.0,Female,TNR,0.05203,0.0065849668859371555,0.27727999999999997,0.010509083901294368
0.0,Female,FPR,0.16248,0.009562540341236618,0.11866000000000002,0.014852505961396997
5.0,Female,FPR,0.21566999999999997,0.01582262831095601,0.1377,0.020142001445293913
10.0,Female,FPR,0.28651,0.014411996931569042,0.17436000000000001,0.030853377989019826
15.0,Female,FPR,0.35863,0.013121602629082909,0.14738,0.016521264412198533
20.0,Female,FPR,0.42313999999999996,0.01654615228853994,0.19092,0.017914995580983733
25.0,Female,FPR,0.5033399999999999,0.019065484811855982,0.1845,0.01103516601093472
30.0,Female,FPR,0.57501,0.017703166383446774,0.2171,0.009055004754891688
35.0,Female,FPR,0.64962,0.01024365169263383,0.28544,0.014220862608623054
40.0,Female,FPR,0.7165199999999999,0.009526673664564732,0.30442,0.010194844012756861
45.0,Female,FPR,0.7496600000000001,0.010302493764995826,0.38309999999999994,0.009305004627140767
50.0,Female,FPR,0.82351,0.008353993722233161,0.43872999999999995,0.009001691816295171
55.00000000000001,Female,FPR,0.8443799999999999,0.01362549734056624,0.50168,0.011904945750961373
60.0,Female,FPR,0.89307,0.007590608964005756,0.57951,0.014288678113185356
65.0,Female,FPR,0.9233499999999999,0.007646673205460734,0.65653,0.013555737202790227
70.0,Female,FPR,0.94797,0.006584966885937155,0.72272,0.01050908390129437
0.0,Female,FNR,0.36857,0.01661222474899467,0.43574,0.02772401766619614
5.0,Female,FNR,0.31491,0.01726566567240056,0.41645000000000004,0.030461765652480925
10.0,Female,FNR,0.27962000000000004,0.01851274515930399,0.39005,0.0350719997528893
15.0,Female,FNR,0.24833000000000002,0.01791579718820485,0.39973,0.01803659274302599
20.0,Female,FNR,0.22917,0.01616098903739083,0.3751300000000001,0.012557220587729153
25.0,Female,FNR,0.19435000000000002,0.017638879090111016,0.39561,0.016033114690123897
30.0,Female,FNR,0.15903,0.0179473306588411,0.38145000000000007,0.01824673030070502
35.0,Female,FNR,0.14444,0.01722764058134485,0.35895,0.023887501380894204
40.0,Female,FNR,0.10429000000000002,0.017375733078060333,0.34179000000000004,0.016690086545278576
45.0,Female,FNR,0.09738999999999999,0.012429949941796045,0.31725,0.017762540171195485
50.0,Female,FNR,0.07250999999999999,0.013023393055063132,0.27842,0.020626373624292007
55.00000000000001,Female,FNR,0.04906,0.01567603407895136,0.22763,0.017390559699637806
60.0,Female,FNR,0.04259,0.0076655716609323335,0.19987999999999997,0.01495811782574562
65.0,Female,FNR,0.02701,0.009509322326596733,0.14751,0.019406799781977905
70.0,Female,FNR,0.029650000000000003,0.007430302072519588,0.13137000000000001,0.0198421551808825
0.0,Female,PPV,0.4398099999999999,0.017492667987855176,0.50072,0.021885702080480664
5.0,Female,PPV,0.39433999999999997,0.02251307373258678,0.47648999999999997,0.028564816937391123
10.0,Female,PPV,0.33718,0.014522157782735547,0.44227,0.03587492795192145
15.0,Female,PPV,0.29661,0.012248795405626173,0.46187000000000006,0.026582810026197175
20.0,Female,PPV,0.26857,0.011047202260200438,0.40493000000000007,0.022468921993623894
25.0,Female,PPV,0.244,0.010255632598723492,0.39963,0.020236897269866026
30.0,Female,PPV,0.22708,0.008777468630280347,0.36433000000000004,0.015984159172269415
35.0,Female,PPV,0.20853000000000002,0.007149857030427641,0.31208,0.016814859830254637
40.0,Female,PPV,0.20047,0.008832692429579759,0.30277000000000004,0.012921902594690407
45.0,Female,PPV,0.19443000000000002,0.0075400714703361925,0.26319,0.010658574534669778
50.0,Female,PPV,0.18422,0.007543058619242815,0.2475,0.009124545650789045
55.00000000000001,Female,PPV,0.18405,0.006652639409370623,0.23575,0.008321541657382697
60.0,Female,PPV,0.17675000000000002,0.006245607345255633,0.2172,0.00921176783612498
65.0,Female,PPV,0.17435,0.00679938314195568,0.20642000000000005,0.00784788435751247
70.0,Female,PPV,0.17015,0.006165896348283659,0.19412000000000001,0.008295605262225697
0.0,Female,NPV,0.9195699999999999,0.0030041101474110074,0.9108199999999999,0.00445607699913525
5.0,Female,NPV,0.9262799999999999,0.0028302257467873104,0.9132700000000001,0.0036582038701465946
10.0,Female,NPV,0.92753,0.004626927226092444,0.9154199999999999,0.005495246430628323
15.0,Female,NPV,0.9286899999999999,0.00429634082033123,0.9145700000000001,0.0033029633159735038
20.0,Female,NPV,0.9271899999999998,0.003766679940979558,0.9153100000000001,0.002630523817713033
25.0,Female,NPV,0.9276099999999999,0.005870802519436525,0.9120799999999999,0.0024948747463550158
30.0,Female,NPV,0.9315599999999999,0.005885031860576454,0.9117200000000001,0.0033223418781870677
35.0,Female,NPV,0.9250999999999999,0.007330453980181276,0.9098599999999999,0.0037457590834317
40.0,Female,NPV,0.9335900000000003,0.01076339940105665,0.9112500000000001,0.0028279262130873695
45.0,Female,NPV,0.92813,0.009037601082883297,0.90794,0.002968920492180431
50.0,Female,NPV,0.9245099999999999,0.01317476080322607,0.9109999999999999,0.004568661364849295
55.00000000000001,Female,NPV,0.9486200000000002,0.013355712885004182,0.9166699999999999,0.005590588321257231
60.0,Female,NPV,0.9297500000000001,0.011959786787397172,0.91394,0.00536716767847706
65.0,Female,NPV,0.93781,0.01960162379894981,0.92189,0.008549326809105435
70.0,Female,NPV,0.8986099999999999,0.02695086248877555,0.91557,0.009727750111008305
0.0,Female,ROC AUC,0.73447,0.006633853413447659,0.7228199999999998,0.008969947355227657
5.0,Female,ROC AUC,0.7346999999999999,0.010818759427751203,0.72292,0.01241622415318853
10.0,Female,ROC AUC,0.7169399999999999,0.009316451398824916,0.7178100000000001,0.008778995766411245
15.0,Female,ROC AUC,0.6964999999999998,0.008776673629570606,0.72645,0.007523256534831767
20.0,Female,ROC AUC,0.67385,0.007976691739757222,0.7169599999999999,0.0067221722679502915
25.0,Female,ROC AUC,0.65117,0.011346747453688117,0.70995,0.010068148345704438
30.0,Female,ROC AUC,0.6329899999999998,0.008155263467370149,0.7007199999999999,0.009351111639205727
35.0,Female,ROC AUC,0.6029699999999999,0.0074976448153922185,0.6778100000000001,0.012011091633245588
40.0,Female,ROC AUC,0.5895900000000001,0.01000550348558232,0.6769000000000001,0.009127991138373332
45.0,Female,ROC AUC,0.57648,0.008071923906700031,0.64984,0.008492666117172965
50.0,Female,ROC AUC,0.55199,0.00827360528696193,0.64144,0.008920104633168087
55.00000000000001,Female,ROC AUC,0.5532700000000002,0.005929775150318377,0.63535,0.009442436714699819
60.0,Female,ROC AUC,0.53217,0.004065902933748751,0.61032,0.009940699729451195
65.0,Female,ROC AUC,0.52482,0.005628198843521988,0.5979800000000001,0.00994491271399045
70.0,Female,ROC AUC,0.5112,0.004562285002544719,0.5729500000000001,0.009863042690321846
0.0,Female,F1,0.5161899999999999,0.013232178371093868,0.5229199999999999,0.013753212150055871
5.0,Female,F1,0.4978299999999999,0.02004986589037997,0.5159499999999999,0.022112129652699163
10.0,Female,F1,0.45732999999999996,0.013915531291011174,0.49716000000000005,0.020236936527053693
15.0,Female,F1,0.4241,0.013469578893029856,0.5157399999999999,0.01678964760400487
20.0,Female,F1,0.3972,0.012771174139008863,0.4870500000000001,0.01588973987620103
25.0,Female,F1,0.37360000000000004,0.01276100831961696,0.47967999999999994,0.018463632723094692
30.0,Female,F1,0.35673999999999995,0.011122291930073485,0.4572900000000001,0.01590181995174696
35.0,Female,F1,0.33486999999999995,0.009694787259140863,0.41835000000000006,0.018614058307275895
40.0,Female,F1,0.32718,0.012432348486464207,0.41421,0.014780410834765197
45.0,Female,F1,0.31945999999999997,0.010365318240277147,0.37966,0.013585197827046907
