Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.017230000000000002,0.005004332567330477,0.0225,0.00399641506019249
5.0,Independence (M_ind),0.023149999999999997,0.004503535648058459,0.04004,0.006269772280110693
10.0,Independence (M_ind),0.028700000000000003,0.004887421496954083,0.03991,0.008220427807196735
15.0,Independence (M_ind),0.05691999999999999,0.007986263206281145,0.051390000000000005,0.014188668796692035
20.0,Independence (M_ind),0.08048,0.01084408492118066,0.07472999999999999,0.012179673869014538
25.0,Independence (M_ind),0.11808999999999999,0.013697984036589714,0.07540999999999999,0.013433643089894367
30.0,Independence (M_ind),0.16497,0.017784625382616298,0.08516,0.01473090628576531
35.0,Independence (M_ind),0.24371,0.01802533063342929,0.09475,0.011901216090990216
40.0,Independence (M_ind),0.35299,0.013335795189389094,0.09771,0.010043986039195573
45.0,Independence (M_ind),0.46821,0.010978994590681891,0.11709,0.00949067905309672
50.0,Independence (M_ind),0.59544,0.015850875895882435,0.1719,0.011267919062542117
55.00000000000001,Independence (M_ind),0.6901599999999999,0.01596785799313386,0.21781,0.00848404319230453
60.0,Independence (M_ind),0.7698000000000002,0.012382362007665937,0.29103999999999997,0.009271523906864265
65.0,Independence (M_ind),0.8332599999999999,0.00972169623974015,0.38861,0.01947504072168043
70.0,Independence (M_ind),0.8514100000000001,0.008992273844189186,0.51489,0.018906197984317794
0.0,Separation (M_sep),0.0782,0.015435816934793069,0.09885000000000001,0.01714817936562233
5.0,Separation (M_sep),0.08706,0.014081013221119185,0.15736999999999995,0.027788862877059218
10.0,Separation (M_sep),0.11101000000000001,0.011266562622793757,0.1715,0.03342669924210618
15.0,Separation (M_sep),0.17341999999999996,0.020301810537760197,0.17629,0.03910490293215588
20.0,Separation (M_sep),0.24376999999999996,0.02027033985353422,0.25978999999999997,0.03432403903324251
25.0,Separation (M_sep),0.31736000000000003,0.02721332271762001,0.25769000000000003,0.03590131675084417
30.0,Separation (M_sep),0.38049999999999995,0.03440714719034081,0.2779,0.041369234408622495
35.0,Separation (M_sep),0.5152599999999999,0.03634497122482467,0.30039,0.037864141494441825
40.0,Separation (M_sep),0.6766500000000001,0.03355130813810063,0.31576000000000004,0.022498771324477054
45.0,Separation (M_sep),0.8777799999999999,0.023674964742435318,0.32343,0.01804156343311496
50.0,Separation (M_sep),1.0880999999999998,0.0341819900597441,0.43244,0.022975703108573917
55.00000000000001,Separation (M_sep),1.2319200000000001,0.030843417450081633,0.47574000000000005,0.0320050558505996
60.0,Separation (M_sep),1.3442500000000002,0.02940469444758023,0.5409200000000001,0.03384941752329967
65.0,Separation (M_sep),1.4395099999999998,0.029962470785226573,0.66845,0.04055539216101028
70.0,Separation (M_sep),1.46937,0.024972282634953494,0.8519400000000001,0.03645441354166415
0.0,Sufficiency (M_suff),0.09663,0.017369660970272913,0.10533,0.016769662091606574
5.0,Sufficiency (M_suff),0.13578,0.018276194595398924,0.14748999999999998,0.019584236574914586
10.0,Sufficiency (M_suff),0.13349000000000003,0.024806407998293055,0.15066000000000002,0.0239717111056623
15.0,Sufficiency (M_suff),0.20634999999999998,0.03986200153864161,0.19187000000000004,0.04110831505506722
20.0,Sufficiency (M_suff),0.22748,0.037671426837856826,0.23418,0.032418697622754
25.0,Sufficiency (M_suff),0.27327999999999997,0.03570208148304833,0.23116000000000003,0.04944788996734059
30.0,Sufficiency (M_suff),0.34082999999999997,0.04007121729565444,0.25715,0.03753827750147545
35.0,Sufficiency (M_suff),0.40260999999999997,0.03240219282702947,0.28493999999999997,0.03772405716368388
40.0,Sufficiency (M_suff),0.47512999999999994,0.032270936528778396,0.27762000000000003,0.04164151721005799
45.0,Sufficiency (M_suff),0.50562,0.02935829922412627,0.34034,0.042920599043142695
50.0,Sufficiency (M_suff),0.54282,0.03448756877484987,0.4259900000000001,0.0359904136927846
55.00000000000001,Sufficiency (M_suff),0.56372,0.030195256433935298,0.44913,0.041361858570964194
60.0,Sufficiency (M_suff),0.5784,0.03249764094002312,0.4499000000000001,0.04103780370991281
65.0,Sufficiency (M_suff),0.61371,0.04170944856983847,0.4234699999999999,0.03018033962698233
70.0,Sufficiency (M_suff),0.6087100000000001,0.03813621623717917,0.43096999999999996,0.02659447331892683
