Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8365,0.0684,0.2549,0.9764,0.0236,0.7451,0.7222,0.8449,0.6157,0.3768
0.0,Female,0.8675,0.0924,0.375,0.9617,0.0383,0.625,0.6522,0.8894,0.6684,0.4762
5.0,Male,0.8289,0.0532,0.1961,0.9811,0.0189,0.8039,0.7143,0.8353,0.5886,0.3077
5.0,Female,0.8233,0.1004,0.3137,0.9545,0.0455,0.6863,0.64,0.8438,0.6341,0.4211
10.0,Male,0.8289,0.0532,0.1961,0.9811,0.0189,0.8039,0.7143,0.8353,0.5886,0.3077
10.0,Female,0.7711,0.1044,0.2615,0.9511,0.0489,0.7385,0.6538,0.7848,0.6063,0.3736
15.0,Male,0.8289,0.0608,0.2157,0.9764,0.0236,0.7843,0.6875,0.8381,0.5961,0.3284
15.0,Female,0.7149,0.1044,0.2152,0.9471,0.0529,0.7848,0.6538,0.722,0.5811,0.3238
20.0,Male,0.8251,0.0494,0.1765,0.9811,0.0189,0.8235,0.6923,0.832,0.5788,0.2812
20.0,Female,0.6707,0.1205,0.2111,0.9308,0.0692,0.7889,0.6333,0.6758,0.571,0.3167
25.0,Male,0.8365,0.0608,0.2353,0.9811,0.0189,0.7647,0.75,0.8421,0.6082,0.3582
25.0,Female,0.6386,0.0884,0.16,0.9597,0.0403,0.84,0.7273,0.63,0.5599,0.2623
30.0,Male,0.8365,0.0608,0.2353,0.9811,0.0189,0.7647,0.75,0.8421,0.6082,0.3582
30.0,Female,0.6145,0.1044,0.1698,0.9441,0.0559,0.8302,0.6923,0.6054,0.5569,0.2727
35.0,Male,0.8289,0.0532,0.1961,0.9811,0.0189,0.8039,0.7143,0.8353,0.5886,0.3077
35.0,Female,0.5863,0.1004,0.1579,0.9481,0.0519,0.8421,0.72,0.5714,0.553,0.259
40.0,Male,0.8327,0.057,0.2157,0.9811,0.0189,0.7843,0.7333,0.8387,0.5984,0.3333
40.0,Female,0.5663,0.1245,0.187,0.9365,0.0635,0.813,0.7419,0.5413,0.5617,0.2987
45.0,Male,0.8327,0.0646,0.2353,0.9764,0.0236,0.7647,0.7059,0.8415,0.6059,0.3529
45.0,Female,0.51,0.1406,0.1825,0.9107,0.0893,0.8175,0.7143,0.4766,0.5466,0.2907
50.0,Male,0.8251,0.057,0.1961,0.9764,0.0236,0.8039,0.6667,0.8347,0.5862,0.303
50.0,Female,0.502,0.2209,0.2653,0.8431,0.1569,0.7347,0.7091,0.4433,0.5542,0.3861
55.00000000000001,Male,0.8327,0.0722,0.2549,0.9717,0.0283,0.7451,0.6842,0.8443,0.6133,0.3714
55.00000000000001,Female,0.5141,0.2691,0.3269,0.828,0.172,0.6731,0.7612,0.4231,0.5774,0.4574
60.0,Male,0.8441,0.0837,0.3137,0.9717,0.0283,0.6863,0.7273,0.8548,0.6427,0.4384
60.0,Female,0.51,0.3414,0.3943,0.7838,0.2162,0.6057,0.8118,0.3537,0.589,0.5308
65.0,Male,0.8593,0.1293,0.4706,0.9528,0.0472,0.5294,0.7059,0.8821,0.7117,0.5647
65.0,Female,0.5301,0.4418,0.4815,0.6833,0.3167,0.5185,0.8273,0.295,0.5824,0.6087
70.0,Male,0.8631,0.1863,0.6275,0.9198,0.0802,0.3725,0.6531,0.9112,0.7736,0.64
70.0,Female,0.5863,0.6225,0.6313,0.4118,0.5882,0.3687,0.8065,0.2234,0.5215,0.7082
