Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
0.0,Female,0.8735,0.102,0.4211,0.9565,0.0435,0.5789,0.64,0.9,0.6888,0.5079
5.0,Male,0.8352,0.0637,0.2453,0.9813,0.0187,0.7547,0.7647,0.84,0.6133,0.3714
5.0,Female,0.8898,0.0857,0.4211,0.9758,0.0242,0.5789,0.7619,0.9018,0.6984,0.5424
10.0,Male,0.8464,0.1124,0.3962,0.9579,0.0421,0.6038,0.7,0.865,0.6771,0.506
10.0,Female,0.8735,0.1265,0.5,0.942,0.058,0.5,0.6129,0.9112,0.721,0.5507
15.0,Male,0.8502,0.1236,0.434,0.9533,0.0467,0.566,0.697,0.8718,0.6936,0.5349
15.0,Female,0.8776,0.1388,0.5526,0.9372,0.0628,0.4474,0.6176,0.9194,0.7449,0.5833
20.0,Male,0.8352,0.0712,0.2642,0.9766,0.0234,0.7358,0.7368,0.8427,0.6204,0.3889
20.0,Female,0.8694,0.1306,0.5,0.9372,0.0628,0.5,0.5938,0.9108,0.7186,0.5429
25.0,Male,0.8315,0.0674,0.2453,0.9766,0.0234,0.7547,0.7222,0.8394,0.611,0.3662
25.0,Female,0.8694,0.1306,0.5,0.9372,0.0628,0.5,0.5938,0.9108,0.7186,0.5429
30.0,Male,0.8502,0.1161,0.4151,0.9579,0.0421,0.5849,0.7097,0.8686,0.6865,0.5238
30.0,Female,0.8041,0.2204,0.5789,0.8454,0.1546,0.4211,0.4074,0.9162,0.7122,0.4783
35.0,Male,0.8277,0.0712,0.2453,0.972,0.028,0.7547,0.6842,0.8387,0.6086,0.3611
35.0,Female,0.8367,0.1633,0.5,0.8986,0.1014,0.5,0.475,0.9073,0.6993,0.4872
40.0,Male,0.8352,0.0637,0.2453,0.9813,0.0187,0.7547,0.7647,0.84,0.6133,0.3714
40.0,Female,0.8327,0.1918,0.5789,0.8792,0.1208,0.4211,0.4681,0.9192,0.7291,0.5176
45.0,Male,0.8577,0.1461,0.5094,0.9439,0.0561,0.4906,0.6923,0.886,0.7267,0.587
45.0,Female,0.7429,0.2898,0.6053,0.7681,0.2319,0.3947,0.3239,0.9138,0.6867,0.422
50.0,Male,0.8315,0.0674,0.2453,0.9766,0.0234,0.7547,0.7222,0.8394,0.611,0.3662
50.0,Female,0.7837,0.2163,0.5,0.8357,0.1643,0.5,0.3585,0.901,0.6679,0.4176
55.00000000000001,Male,0.8577,0.1536,0.5283,0.9393,0.0607,0.4717,0.6829,0.8894,0.7338,0.5957
55.00000000000001,Female,0.6939,0.3224,0.5526,0.7198,0.2802,0.4474,0.2658,0.8976,0.6362,0.359
60.0,Male,0.839,0.1948,0.5849,0.9019,0.0981,0.4151,0.5962,0.8977,0.7434,0.5905
60.0,Female,0.5796,0.4531,0.6053,0.5749,0.4251,0.3947,0.2072,0.8881,0.5901,0.3087
65.0,Male,0.8427,0.1835,0.566,0.9112,0.0888,0.434,0.6122,0.8945,0.7386,0.5882
65.0,Female,0.5061,0.5673,0.7368,0.4638,0.5362,0.2632,0.2014,0.9057,0.6003,0.3164
70.0,Male,0.8352,0.191,0.566,0.9019,0.0981,0.434,0.5882,0.8935,0.734,0.5769
70.0,Female,0.4122,0.6939,0.8421,0.3333,0.6667,0.1579,0.1882,0.92,0.5877,0.3077
