Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
0.0,Female,0.8735,0.102,0.4211,0.9565,0.0435,0.5789,0.64,0.9,0.6888,0.5079
5.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
5.0,Female,0.8245,0.102,0.3269,0.9585,0.0415,0.6731,0.68,0.8409,0.6427,0.4416
10.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
10.0,Female,0.7633,0.102,0.2537,0.9551,0.0449,0.7463,0.68,0.7727,0.6044,0.3696
15.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
15.0,Female,0.7224,0.102,0.2208,0.9524,0.0476,0.7792,0.68,0.7273,0.5866,0.3333
20.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
20.0,Female,0.702,0.102,0.2209,0.9623,0.0377,0.7791,0.76,0.6955,0.5916,0.3423
25.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
25.0,Female,0.6857,0.102,0.2111,0.9613,0.0387,0.7889,0.76,0.6773,0.5862,0.3304
30.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
30.0,Female,0.6531,0.102,0.1939,0.9592,0.0408,0.8061,0.76,0.6409,0.5765,0.3089
35.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
35.0,Female,0.6204,0.102,0.1792,0.9568,0.0432,0.8208,0.76,0.6045,0.568,0.2901
40.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
40.0,Female,0.5918,0.102,0.1739,0.9615,0.0385,0.8261,0.8,0.5682,0.5677,0.2857
45.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
45.0,Female,0.551,0.102,0.16,0.9583,0.0417,0.84,0.8,0.5227,0.5592,0.2667
50.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
50.0,Female,0.5306,0.102,0.1538,0.9565,0.0435,0.8462,0.8,0.5,0.5552,0.2581
55.00000000000001,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
55.00000000000001,Female,0.5102,0.102,0.1481,0.9545,0.0455,0.8519,0.8,0.4773,0.5513,0.25
60.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
60.0,Female,0.4449,0.102,0.1325,0.9468,0.0532,0.8675,0.8,0.4045,0.5396,0.2273
65.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
65.0,Female,0.4082,0.102,0.1296,0.9518,0.0482,0.8704,0.84,0.3591,0.5407,0.2246
70.0,Male,0.839,0.1199,0.3962,0.9486,0.0514,0.6038,0.6562,0.8638,0.6724,0.4941
70.0,Female,0.3796,0.102,0.1243,0.9474,0.0526,0.8757,0.84,0.3273,0.5358,0.2165
