Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
0.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
5.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
5.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
10.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
10.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
15.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
15.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
20.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
20.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
25.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
25.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
30.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
30.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
35.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
35.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
40.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
40.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
45.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
45.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
50.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
50.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
55.00000000000001,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
55.00000000000001,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
60.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
60.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
65.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
65.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
70.0,Male,0.8491,0.1333,0.4545,0.9435,0.0565,0.5455,0.6579,0.8785,0.699,0.5376
70.0,Female,0.8899,0.0925,0.4444,0.9738,0.0262,0.5556,0.7619,0.9029,0.7091,0.5614
