Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.839,0.1573,0.4906,0.9252,0.0748,0.5094,0.619,0.88,0.7079,0.5474
0.0,Female,0.8735,0.102,0.4211,0.9565,0.0435,0.5789,0.64,0.9,0.6888,0.5079
5.0,Male,0.8464,0.1573,0.5094,0.9299,0.0701,0.4906,0.6429,0.8844,0.7197,0.5684
5.0,Female,0.8163,0.1347,0.3846,0.9326,0.0674,0.6154,0.6061,0.8491,0.6586,0.4706
10.0,Male,0.8502,0.1685,0.5472,0.9252,0.0748,0.4528,0.6444,0.8919,0.7362,0.5918
10.0,Female,0.7633,0.1265,0.2985,0.9382,0.0618,0.7015,0.6452,0.7804,0.6184,0.4082
15.0,Male,0.8502,0.1536,0.5094,0.9346,0.0654,0.4906,0.6585,0.885,0.722,0.5745
15.0,Female,0.7347,0.1388,0.2987,0.9345,0.0655,0.7013,0.6765,0.7441,0.6166,0.4144
20.0,Male,0.8502,0.161,0.5283,0.9299,0.0701,0.4717,0.6512,0.8884,0.7291,0.5833
20.0,Female,0.698,0.1714,0.314,0.9057,0.0943,0.686,0.6429,0.7094,0.6098,0.4219
25.0,Male,0.8539,0.1573,0.5283,0.9346,0.0654,0.4717,0.6667,0.8889,0.7314,0.5895
25.0,Female,0.6816,0.1959,0.3333,0.8839,0.1161,0.6667,0.625,0.6954,0.6086,0.4348
30.0,Male,0.8502,0.161,0.5283,0.9299,0.0701,0.4717,0.6512,0.8884,0.7291,0.5833
30.0,Female,0.6327,0.2204,0.3163,0.8435,0.1565,0.6837,0.5741,0.6492,0.5799,0.4079
35.0,Male,0.8502,0.1685,0.5472,0.9252,0.0748,0.4528,0.6444,0.8919,0.7362,0.5918
35.0,Female,0.5592,0.3102,0.3491,0.7194,0.2806,0.6509,0.4868,0.5917,0.5342,0.4066
40.0,Male,0.8614,0.1498,0.5283,0.9439,0.0561,0.4717,0.7,0.8899,0.7361,0.6022
40.0,Female,0.5347,0.4122,0.4435,0.6154,0.3846,0.5565,0.505,0.5556,0.5294,0.4722
45.0,Male,0.8577,0.1461,0.5094,0.9439,0.0561,0.4906,0.6923,0.886,0.7267,0.587
45.0,Female,0.5306,0.5714,0.6,0.4583,0.5417,0.4,0.5357,0.5238,0.5292,0.566
50.0,Male,0.8539,0.1573,0.5283,0.9346,0.0654,0.4717,0.6667,0.8889,0.7314,0.5895
50.0,Female,0.5388,0.698,0.7231,0.3304,0.6696,0.2769,0.5497,0.5135,0.5268,0.6246
55.00000000000001,Male,0.8577,0.1536,0.5283,0.9393,0.0607,0.4717,0.6829,0.8894,0.7338,0.5957
55.00000000000001,Female,0.5551,0.8,0.8222,0.2273,0.7727,0.1778,0.5663,0.5102,0.5247,0.6707
60.0,Male,0.8577,0.1536,0.5283,0.9393,0.0607,0.4717,0.6829,0.8894,0.7338,0.5957
60.0,Female,0.5878,0.8653,0.8675,0.1383,0.8617,0.1325,0.6179,0.3939,0.5029,0.7218
65.0,Male,0.8539,0.1498,0.5094,0.9393,0.0607,0.4906,0.675,0.8855,0.7243,0.5806
65.0,Female,0.6327,0.9469,0.9383,0.0361,0.9639,0.0617,0.6552,0.2308,0.4872,0.7716
70.0,Male,0.8502,0.1536,0.5094,0.9346,0.0654,0.4906,0.6585,0.885,0.722,0.5745
70.0,Female,0.6776,0.9714,0.9704,0.0263,0.9737,0.0296,0.6891,0.2857,0.4984,0.8059
