Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8647,0.1165,0.4359,0.9383,0.0617,0.5641,0.5484,0.9064,0.6871,0.4857
0.0,Female,0.8537,0.1463,0.5,0.9485,0.0515,0.5,0.7222,0.8762,0.7242,0.5909
5.0,Male,0.8722,0.109,0.4359,0.9471,0.0529,0.5641,0.5862,0.9072,0.6915,0.5
5.0,Female,0.8618,0.1545,0.5385,0.9485,0.0515,0.4615,0.7368,0.8846,0.7435,0.6222
10.0,Male,0.8647,0.1165,0.4359,0.9383,0.0617,0.5641,0.5484,0.9064,0.6871,0.4857
10.0,Female,0.8496,0.1667,0.5385,0.933,0.067,0.4615,0.6829,0.8829,0.7357,0.6022
15.0,Male,0.8647,0.1165,0.4359,0.9383,0.0617,0.5641,0.5484,0.9064,0.6871,0.4857
15.0,Female,0.8496,0.1911,0.5962,0.9175,0.0825,0.4038,0.6596,0.8945,0.7568,0.6263
20.0,Male,0.8609,0.1203,0.4359,0.9339,0.0661,0.5641,0.5312,0.906,0.6849,0.4789
20.0,Female,0.8333,0.2236,0.6346,0.8866,0.1134,0.3654,0.6,0.9005,0.7606,0.6168
25.0,Male,0.8759,0.1053,0.4359,0.9515,0.0485,0.5641,0.6071,0.9076,0.6937,0.5075
25.0,Female,0.8211,0.2764,0.7308,0.8454,0.1546,0.2692,0.5588,0.9213,0.7881,0.6333
30.0,Male,0.8684,0.1203,0.4615,0.9383,0.0617,0.5385,0.5625,0.9103,0.6999,0.507
30.0,Female,0.7439,0.3455,0.7115,0.7526,0.2474,0.2885,0.4353,0.9068,0.7321,0.5401
35.0,Male,0.8684,0.1128,0.4359,0.9427,0.0573,0.5641,0.5667,0.9068,0.6893,0.4928
35.0,Female,0.6951,0.435,0.8077,0.6649,0.3351,0.1923,0.3925,0.9281,0.7363,0.5283
40.0,Male,0.8722,0.1165,0.4615,0.9427,0.0573,0.5385,0.5806,0.9106,0.7021,0.5143
40.0,Female,0.6463,0.4919,0.8269,0.5979,0.4021,0.1731,0.3554,0.928,0.7124,0.4971
45.0,Male,0.8722,0.1241,0.4872,0.9383,0.0617,0.5128,0.5758,0.9142,0.7128,0.5278
45.0,Female,0.5325,0.6382,0.9038,0.433,0.567,0.0962,0.2994,0.9438,0.6684,0.4498
50.0,Male,0.8609,0.1353,0.4872,0.9251,0.0749,0.5128,0.5278,0.913,0.7061,0.5067
50.0,Female,0.4472,0.7398,0.9423,0.3144,0.6856,0.0577,0.2692,0.9531,0.6284,0.4188
55.00000000000001,Male,0.8647,0.1241,0.4615,0.9339,0.0661,0.5385,0.5455,0.9099,0.6977,0.5
55.00000000000001,Female,0.3902,0.8049,0.9615,0.2371,0.7629,0.0385,0.2525,0.9583,0.5993,0.4
60.0,Male,0.8647,0.1241,0.4615,0.9339,0.0661,0.5385,0.5455,0.9099,0.6977,0.5
60.0,Female,0.3211,0.8821,0.9808,0.1443,0.8557,0.0192,0.235,0.9655,0.5625,0.3792
65.0,Male,0.8609,0.1353,0.4872,0.9251,0.0749,0.5128,0.5278,0.913,0.7061,0.5067
65.0,Female,0.2561,0.9472,0.9808,0.0619,0.9381,0.0192,0.2189,0.9231,0.5213,0.3579
70.0,Male,0.8571,0.1391,0.4872,0.9207,0.0793,0.5128,0.5135,0.9127,0.7039,0.5
70.0,Female,0.2276,0.9837,1.0,0.0206,0.9794,0.0,0.2149,1.0,0.5103,0.3537
