Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
0.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
5.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
5.0,Female,0.7841,0.1542,0.375,0.9181,0.0819,0.625,0.6,0.8177,0.6466,0.4615
10.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
10.0,Female,0.7445,0.1542,0.3231,0.9136,0.0864,0.6769,0.6,0.7708,0.6183,0.42
15.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
15.0,Female,0.7048,0.1542,0.2949,0.9195,0.0805,0.7051,0.6571,0.7135,0.6072,0.4071
20.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
20.0,Female,0.7004,0.1542,0.3059,0.9366,0.0634,0.6941,0.7429,0.6927,0.6213,0.4333
25.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
25.0,Female,0.652,0.1542,0.2755,0.938,0.062,0.7245,0.7714,0.6302,0.6067,0.406
30.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
30.0,Female,0.5991,0.1542,0.25,0.9391,0.0609,0.75,0.8,0.5625,0.5946,0.381
35.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
35.0,Female,0.5639,0.1542,0.2377,0.9429,0.0571,0.7623,0.8286,0.5156,0.5903,0.3694
40.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
40.0,Female,0.5242,0.1542,0.2214,0.9375,0.0625,0.7786,0.8286,0.4688,0.5794,0.3494
45.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
45.0,Female,0.4978,0.1542,0.2158,0.9432,0.0568,0.7842,0.8571,0.4323,0.5795,0.3448
50.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
50.0,Female,0.467,0.1542,0.2055,0.9383,0.0617,0.7945,0.8571,0.3958,0.5719,0.3315
55.00000000000001,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
55.00000000000001,Female,0.4405,0.1542,0.1974,0.9333,0.0667,0.8026,0.8571,0.3646,0.5654,0.3209
60.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
60.0,Female,0.4009,0.1542,0.1863,0.9242,0.0758,0.8137,0.8571,0.3177,0.5553,0.3061
65.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
65.0,Female,0.3833,0.1542,0.1856,0.9333,0.0667,0.8144,0.8857,0.2917,0.5595,0.3069
70.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
70.0,Female,0.3524,0.1542,0.1818,0.9412,0.0588,0.8182,0.9143,0.25,0.5615,0.3033
