Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
0.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
5.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
5.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
10.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
10.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
15.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
15.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
20.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
20.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
25.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
25.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
30.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
30.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
35.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
35.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
40.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
40.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
45.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
45.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
50.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
50.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
55.00000000000001,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
55.00000000000001,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
60.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
60.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
65.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
65.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
70.0,Male,0.8456,0.1368,0.451,0.9316,0.0684,0.549,0.5897,0.8862,0.6913,0.5111
70.0,Female,0.837,0.1542,0.475,0.9144,0.0856,0.525,0.5429,0.8906,0.6947,0.5067
