Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.797,0.2218,0.5641,0.837,0.163,0.4359,0.3729,0.9179,0.7006,0.449
0.0,Female,0.813,0.2195,0.5769,0.8763,0.1237,0.4231,0.5556,0.8854,0.7266,0.566
5.0,Male,0.8383,0.1654,0.5128,0.8943,0.1057,0.4872,0.4545,0.9144,0.7035,0.4819
5.0,Female,0.7927,0.248,0.5781,0.8681,0.1319,0.4219,0.6066,0.8541,0.7231,0.592
10.0,Male,0.8421,0.1692,0.5385,0.8943,0.1057,0.4615,0.4667,0.9186,0.7164,0.5
10.0,Female,0.7967,0.2236,0.5352,0.9029,0.0971,0.4648,0.6909,0.8272,0.719,0.6032
15.0,Male,0.8647,0.1466,0.5385,0.9207,0.0793,0.4615,0.5385,0.9207,0.7296,0.5385
15.0,Female,0.7317,0.2683,0.5,0.8393,0.1607,0.5,0.5909,0.7833,0.6696,0.5417
20.0,Male,0.8534,0.1429,0.4872,0.9163,0.0837,0.5128,0.5,0.9123,0.7017,0.4935
20.0,Female,0.687,0.2886,0.4681,0.8224,0.1776,0.5319,0.6197,0.7143,0.6452,0.5333
25.0,Male,0.8459,0.1429,0.4615,0.9119,0.0881,0.5385,0.4737,0.9079,0.6867,0.4675
25.0,Female,0.6545,0.3496,0.5051,0.7551,0.2449,0.4949,0.5814,0.6938,0.6301,0.5405
30.0,Male,0.8534,0.1278,0.4359,0.9251,0.0749,0.5641,0.5,0.9052,0.6805,0.4658
30.0,Female,0.6301,0.3699,0.5,0.7388,0.2612,0.5,0.6154,0.6387,0.6194,0.5517
35.0,Male,0.8233,0.1805,0.5128,0.8767,0.1233,0.4872,0.4167,0.9128,0.6947,0.4598
35.0,Female,0.5772,0.4106,0.4874,0.6614,0.3386,0.5126,0.5743,0.5793,0.5744,0.5273
40.0,Male,0.8158,0.1955,0.5385,0.8634,0.1366,0.4615,0.4038,0.9159,0.7009,0.4615
40.0,Female,0.5488,0.4553,0.5039,0.5983,0.4017,0.4961,0.5804,0.5224,0.5511,0.5394
45.0,Male,0.8195,0.1992,0.5641,0.8634,0.1366,0.4359,0.4151,0.9202,0.7138,0.4783
45.0,Female,0.561,0.5285,0.5821,0.5357,0.4643,0.4179,0.6,0.5172,0.5589,0.5909
50.0,Male,0.8008,0.2331,0.6154,0.8326,0.1674,0.3846,0.3871,0.9265,0.724,0.4752
50.0,Female,0.5325,0.5366,0.5594,0.4951,0.5049,0.4406,0.6061,0.4474,0.5273,0.5818
55.00000000000001,Male,0.7744,0.2594,0.6154,0.8018,0.1982,0.3846,0.3478,0.9239,0.7086,0.4444
55.00000000000001,Female,0.5163,0.5894,0.5813,0.3953,0.6047,0.4188,0.6414,0.3366,0.4883,0.6098
60.0,Male,0.7895,0.2368,0.5897,0.8238,0.1762,0.4103,0.3651,0.9212,0.7068,0.451
60.0,Female,0.5935,0.6504,0.6765,0.4079,0.5921,0.3235,0.7188,0.3605,0.5422,0.697
65.0,Male,0.7895,0.2444,0.6154,0.8194,0.1806,0.3846,0.3692,0.9254,0.7174,0.4615
65.0,Female,0.6504,0.6911,0.7283,0.4194,0.5806,0.2717,0.7882,0.3421,0.5738,0.7571
70.0,Male,0.7932,0.2406,0.6154,0.8238,0.1762,0.3846,0.375,0.9257,0.7196,0.466
70.0,Female,0.6667,0.7439,0.7644,0.3273,0.6727,0.2356,0.7978,0.2857,0.5458,0.7807
