Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8316,0.2,0.5882,0.8846,0.1154,0.4118,0.5263,0.9079,0.7364,0.5556
0.0,Female,0.8194,0.2159,0.6,0.8663,0.1337,0.4,0.4898,0.9101,0.7332,0.5393
5.0,Male,0.814,0.2316,0.6275,0.8547,0.1453,0.3725,0.4848,0.9132,0.7411,0.547
5.0,Female,0.7445,0.3348,0.725,0.7487,0.2513,0.275,0.3816,0.9272,0.7368,0.5
10.0,Male,0.8561,0.1825,0.6078,0.9103,0.0897,0.3922,0.5962,0.9142,0.759,0.6019
10.0,Female,0.7445,0.2819,0.575,0.7807,0.2193,0.425,0.3594,0.8957,0.6779,0.4423
15.0,Male,0.8281,0.1965,0.5686,0.8846,0.1154,0.4314,0.5179,0.9039,0.7266,0.5421
15.0,Female,0.6652,0.3965,0.675,0.6631,0.3369,0.325,0.3,0.9051,0.6691,0.4154
20.0,Male,0.8526,0.1649,0.549,0.9188,0.0812,0.451,0.5957,0.9034,0.7339,0.5714
20.0,Female,0.7357,0.3172,0.65,0.754,0.246,0.35,0.3611,0.9097,0.702,0.4643
25.0,Male,0.8596,0.1439,0.5098,0.9359,0.0641,0.4902,0.6341,0.8975,0.7229,0.5652
25.0,Female,0.6872,0.3392,0.575,0.7112,0.2888,0.425,0.2987,0.8867,0.6431,0.3932
30.0,Male,0.8456,0.1509,0.4902,0.9231,0.0769,0.5098,0.5814,0.8926,0.7066,0.5319
30.0,Female,0.7093,0.3348,0.625,0.7273,0.2727,0.375,0.3289,0.9007,0.6761,0.431
35.0,Male,0.8632,0.1263,0.4706,0.9487,0.0513,0.5294,0.6667,0.8916,0.7097,0.5517
35.0,Female,0.674,0.3789,0.65,0.6791,0.3209,0.35,0.3023,0.9007,0.6646,0.4127
40.0,Male,0.8456,0.1789,0.5686,0.906,0.094,0.4314,0.5686,0.906,0.7373,0.5686
40.0,Female,0.6388,0.4317,0.7,0.6257,0.3743,0.3,0.2857,0.907,0.6628,0.4058
45.0,Male,0.8211,0.2175,0.6078,0.8675,0.1325,0.3922,0.5,0.9103,0.7377,0.5487
45.0,Female,0.6344,0.4626,0.775,0.6043,0.3957,0.225,0.2952,0.9262,0.6896,0.4276
50.0,Male,0.7754,0.2842,0.6667,0.7991,0.2009,0.3333,0.4198,0.9167,0.7329,0.5152
50.0,Female,0.5595,0.5639,0.85,0.4973,0.5027,0.15,0.2656,0.9394,0.6737,0.4048
55.00000000000001,Male,0.7789,0.2737,0.6471,0.8077,0.1923,0.3529,0.4231,0.913,0.7274,0.5116
55.00000000000001,Female,0.5507,0.5727,0.85,0.4866,0.5134,0.15,0.2615,0.9381,0.6683,0.4
60.0,Male,0.7789,0.2737,0.6471,0.8077,0.1923,0.3529,0.4231,0.913,0.7274,0.5116
60.0,Female,0.4626,0.6432,0.8,0.3904,0.6096,0.2,0.2192,0.9012,0.5952,0.3441
65.0,Male,0.786,0.2596,0.6275,0.8205,0.1795,0.3725,0.4324,0.91,0.724,0.512
65.0,Female,0.4229,0.674,0.775,0.3476,0.6524,0.225,0.2026,0.8784,0.5613,0.3212
70.0,Male,0.7895,0.2561,0.6275,0.8248,0.1752,0.3725,0.4384,0.9104,0.7261,0.5161
70.0,Female,0.4009,0.7048,0.8,0.3155,0.6845,0.2,0.2,0.8806,0.5578,0.32
