Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
0.0,Female,0.8649,0.1429,0.5227,0.9349,0.0651,0.4773,0.6216,0.9054,0.7288,0.5679
5.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
5.0,Female,0.834,0.1429,0.4444,0.9366,0.0634,0.5556,0.6486,0.8649,0.6905,0.5275
10.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
10.0,Female,0.7992,0.1429,0.381,0.9337,0.0663,0.619,0.6486,0.8243,0.6573,0.48
15.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
15.0,Female,0.7568,0.1429,0.3243,0.9297,0.0703,0.6757,0.6486,0.7748,0.627,0.4324
20.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
20.0,Female,0.7336,0.1429,0.3,0.9274,0.0726,0.7,0.6486,0.7477,0.6137,0.4103
25.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
25.0,Female,0.7066,0.1429,0.2759,0.9244,0.0756,0.7241,0.6486,0.7162,0.6001,0.3871
30.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
30.0,Female,0.6602,0.1429,0.2424,0.9188,0.0812,0.7576,0.6486,0.6622,0.5806,0.3529
35.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
35.0,Female,0.6062,0.1429,0.2174,0.9167,0.0833,0.7826,0.6757,0.5946,0.567,0.3289
40.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
40.0,Female,0.5676,0.1429,0.2047,0.9167,0.0833,0.7953,0.7027,0.545,0.5607,0.3171
45.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
45.0,Female,0.5328,0.1429,0.1912,0.9106,0.0894,0.8088,0.7027,0.5045,0.5509,0.3006
50.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
50.0,Female,0.4981,0.1429,0.1837,0.9107,0.0893,0.8163,0.7297,0.4595,0.5472,0.2935
55.00000000000001,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
55.00000000000001,Female,0.4672,0.1429,0.1742,0.9038,0.0962,0.8258,0.7297,0.4234,0.539,0.2812
60.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
60.0,Female,0.4363,0.1429,0.1697,0.9043,0.0957,0.8303,0.7568,0.3829,0.537,0.2772
65.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
65.0,Female,0.3938,0.1429,0.1629,0.9012,0.0988,0.8371,0.7838,0.3288,0.5321,0.2698
70.0,Male,0.8458,0.1581,0.5106,0.9223,0.0777,0.4894,0.6,0.892,0.7165,0.5517
70.0,Female,0.3359,0.1429,0.1574,0.9032,0.0968,0.8426,0.8378,0.2523,0.5303,0.265
