Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
0.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
5.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
5.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
10.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
10.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
15.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
15.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
20.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
20.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
25.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
25.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
30.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
30.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
35.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
35.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
40.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
40.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
45.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
45.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
50.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
50.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
55.00000000000001,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
55.00000000000001,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
60.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
60.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
65.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
65.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
70.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
70.0,Female,0.8204,0.1918,0.5385,0.8738,0.1262,0.4615,0.4468,0.9091,0.7061,0.4884
