Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8175,0.2471,0.6667,0.8538,0.1462,0.3333,0.5231,0.9141,0.7602,0.5862
0.0,Female,0.8072,0.241,0.65,0.8373,0.1627,0.35,0.4333,0.9259,0.7437,0.52
5.0,Male,0.8061,0.251,0.6471,0.8443,0.1557,0.3529,0.5,0.9086,0.7457,0.5641
5.0,Female,0.7349,0.3092,0.6078,0.7677,0.2323,0.3922,0.4026,0.8837,0.6878,0.4844
10.0,Male,0.8061,0.2586,0.6667,0.8396,0.1604,0.3333,0.5,0.9128,0.7531,0.5714
10.0,Female,0.6908,0.3534,0.5846,0.7283,0.2717,0.4154,0.4318,0.8323,0.6564,0.4967
15.0,Male,0.8403,0.2395,0.7059,0.8726,0.1274,0.2941,0.5714,0.925,0.7893,0.6316
15.0,Female,0.6305,0.4137,0.5696,0.6588,0.3412,0.4304,0.4369,0.7671,0.6142,0.4945
20.0,Male,0.8213,0.2357,0.6471,0.8632,0.1368,0.3529,0.5323,0.9104,0.7551,0.5841
20.0,Female,0.6265,0.4699,0.6333,0.6226,0.3774,0.3667,0.4872,0.75,0.628,0.5507
25.0,Male,0.8251,0.2167,0.6078,0.8774,0.1226,0.3922,0.5439,0.9029,0.7426,0.5741
25.0,Female,0.6185,0.4779,0.62,0.6174,0.3826,0.38,0.521,0.7077,0.6187,0.5662
30.0,Male,0.8403,0.2091,0.6275,0.8915,0.1085,0.3725,0.5818,0.9087,0.7595,0.6038
30.0,Female,0.5783,0.5823,0.6887,0.4965,0.5035,0.3113,0.5034,0.6827,0.5926,0.5817
35.0,Male,0.8289,0.1901,0.549,0.8962,0.1038,0.451,0.56,0.892,0.7226,0.5545
35.0,Female,0.5703,0.6225,0.7105,0.4519,0.5481,0.2895,0.5226,0.6489,0.5812,0.6022
40.0,Male,0.8213,0.2053,0.5686,0.8821,0.1179,0.4314,0.537,0.8947,0.7254,0.5524
40.0,Female,0.5663,0.6707,0.7398,0.3968,0.6032,0.2602,0.5449,0.6098,0.5683,0.6276
45.0,Male,0.8137,0.1901,0.5098,0.8868,0.1132,0.4902,0.52,0.8826,0.6983,0.5149
45.0,Female,0.5743,0.6948,0.7445,0.3661,0.6339,0.2555,0.5896,0.5395,0.5553,0.6581
50.0,Male,0.8137,0.1901,0.5098,0.8868,0.1132,0.4902,0.52,0.8826,0.6983,0.5149
50.0,Female,0.6225,0.759,0.8231,0.3333,0.6667,0.1769,0.6402,0.5667,0.5782,0.7202
55.00000000000001,Male,0.8213,0.1673,0.4706,0.9057,0.0943,0.5294,0.5455,0.8767,0.6881,0.5053
55.00000000000001,Female,0.6265,0.7912,0.8333,0.2796,0.7204,0.1667,0.6599,0.5,0.5565,0.7365
60.0,Male,0.8289,0.1597,0.4706,0.9151,0.0849,0.5294,0.5714,0.8778,0.6928,0.5161
60.0,Female,0.6867,0.8635,0.8914,0.2027,0.7973,0.1086,0.7256,0.4412,0.5471,0.8
65.0,Male,0.8137,0.1749,0.4706,0.8962,0.1038,0.5294,0.5217,0.8756,0.6834,0.4948
65.0,Female,0.747,0.8835,0.9153,0.2167,0.7833,0.0847,0.7864,0.4483,0.566,0.846
70.0,Male,0.8403,0.1559,0.4902,0.9245,0.0755,0.5098,0.6098,0.8829,0.7074,0.5435
70.0,Female,0.747,0.8876,0.899,0.1569,0.8431,0.101,0.8054,0.2857,0.5279,0.8496
