Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8088,0.2231,0.58,0.8657,0.1343,0.42,0.5179,0.8923,0.7228,0.5472
0.0,Female,0.7816,0.2605,0.6341,0.8091,0.1909,0.3659,0.3824,0.9223,0.7216,0.4771
5.0,Male,0.8247,0.2072,0.58,0.8856,0.1144,0.42,0.5577,0.8945,0.7328,0.5686
5.0,Female,0.751,0.2989,0.6585,0.7682,0.2318,0.3415,0.3462,0.9235,0.7134,0.4538
10.0,Male,0.8127,0.1952,0.52,0.8856,0.1144,0.48,0.5306,0.8812,0.7028,0.5253
10.0,Female,0.6858,0.387,0.7317,0.6773,0.3227,0.2683,0.297,0.9312,0.7045,0.4225
15.0,Male,0.8127,0.1952,0.52,0.8856,0.1144,0.48,0.5306,0.8812,0.7028,0.5253
15.0,Female,0.6322,0.4789,0.8537,0.5909,0.4091,0.1463,0.28,0.9559,0.7223,0.4217
20.0,Male,0.8167,0.1992,0.54,0.8856,0.1144,0.46,0.54,0.8856,0.7128,0.54
20.0,Female,0.5977,0.5364,0.9268,0.5364,0.4636,0.0732,0.2714,0.9752,0.7316,0.4199
25.0,Male,0.8287,0.1793,0.52,0.9055,0.0945,0.48,0.5778,0.8835,0.7127,0.5474
25.0,Female,0.5326,0.6092,0.9512,0.4545,0.5455,0.0488,0.2453,0.9804,0.7029,0.39
30.0,Male,0.8327,0.1673,0.5,0.9154,0.0846,0.5,0.5952,0.8804,0.7077,0.5435
30.0,Female,0.4751,0.6513,0.9024,0.3955,0.6045,0.0976,0.2176,0.956,0.6489,0.3507
35.0,Male,0.8287,0.1713,0.5,0.9104,0.0896,0.5,0.5814,0.8798,0.7052,0.5376
35.0,Female,0.4176,0.7395,1.0,0.3091,0.6909,0.0,0.2124,1.0,0.6545,0.3504
40.0,Male,0.8207,0.1633,0.46,0.9104,0.0896,0.54,0.561,0.8714,0.6852,0.5055
40.0,Female,0.3793,0.7701,0.9756,0.2682,0.7318,0.0244,0.199,0.9833,0.6219,0.3306
45.0,Male,0.8088,0.1753,0.46,0.8955,0.1045,0.54,0.5227,0.8696,0.6778,0.4894
45.0,Female,0.3831,0.7663,0.9756,0.2727,0.7273,0.0244,0.2,0.9836,0.6242,0.332
50.0,Male,0.8566,0.1355,0.48,0.9502,0.0498,0.52,0.7059,0.8802,0.7151,0.5714
50.0,Female,0.3487,0.8084,1.0,0.2273,0.7727,0.0,0.1943,1.0,0.6136,0.3254
55.00000000000001,Male,0.8446,0.1394,0.46,0.9403,0.0597,0.54,0.6571,0.875,0.7001,0.5412
55.00000000000001,Female,0.3333,0.8161,0.9756,0.2136,0.7864,0.0244,0.1878,0.9792,0.5946,0.315
60.0,Male,0.8526,0.1315,0.46,0.9502,0.0498,0.54,0.697,0.8761,0.7051,0.5542
60.0,Female,0.295,0.8621,1.0,0.1636,0.8364,0.0,0.1822,1.0,0.5818,0.3083
65.0,Male,0.8406,0.1434,0.46,0.9353,0.0647,0.54,0.6389,0.8744,0.6977,0.5349
65.0,Female,0.2529,0.8889,0.9512,0.1227,0.8773,0.0488,0.1681,0.931,0.537,0.2857
70.0,Male,0.8446,0.1394,0.46,0.9403,0.0597,0.54,0.6571,0.875,0.7001,0.5412
70.0,Female,0.2222,0.9042,0.9024,0.0955,0.9045,0.0976,0.1568,0.84,0.4989,0.2671
