Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
0.0,Female,0.8327,0.2082,0.6316,0.8696,0.1304,0.3684,0.4706,0.9278,0.7506,0.5393
5.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
5.0,Female,0.7837,0.2082,0.4808,0.8653,0.1347,0.5192,0.4902,0.8608,0.673,0.4854
10.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
10.0,Female,0.7306,0.2082,0.3881,0.8596,0.1404,0.6119,0.5098,0.7887,0.6238,0.4407
15.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
15.0,Female,0.698,0.2082,0.3506,0.8571,0.1429,0.6494,0.5294,0.7423,0.6039,0.4219
20.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
20.0,Female,0.6857,0.2082,0.3488,0.8679,0.1321,0.6512,0.5882,0.7113,0.6084,0.438
25.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
25.0,Female,0.6694,0.2082,0.3333,0.8645,0.1355,0.6667,0.5882,0.6907,0.5989,0.4255
30.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
30.0,Female,0.6531,0.2082,0.3265,0.8707,0.1293,0.6735,0.6275,0.6598,0.5986,0.4295
35.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
35.0,Female,0.6204,0.2082,0.3019,0.8633,0.1367,0.6981,0.6275,0.6186,0.5826,0.4076
40.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
40.0,Female,0.6,0.2082,0.2957,0.8692,0.1308,0.7043,0.6667,0.5825,0.5824,0.4096
45.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
45.0,Female,0.5673,0.2082,0.28,0.8667,0.1333,0.72,0.6863,0.5361,0.5733,0.3977
50.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
50.0,Female,0.5469,0.2082,0.2692,0.8609,0.1391,0.7308,0.6863,0.5103,0.5651,0.3867
55.00000000000001,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
55.00000000000001,Female,0.5347,0.2082,0.2667,0.8636,0.1364,0.7333,0.7059,0.4897,0.5652,0.3871
60.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
60.0,Female,0.502,0.2082,0.2649,0.883,0.117,0.7351,0.7843,0.4278,0.5739,0.396
65.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
65.0,Female,0.4735,0.2082,0.2593,0.8916,0.1084,0.7407,0.8235,0.3814,0.5754,0.3944
70.0,Male,0.8202,0.236,0.6415,0.8645,0.1355,0.3585,0.5397,0.9069,0.753,0.5862
70.0,Female,0.4449,0.2082,0.2485,0.8816,0.1184,0.7515,0.8235,0.3454,0.565,0.3818
