Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
0.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
5.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
5.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
10.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
10.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
15.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
15.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
20.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
20.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
25.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
25.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
30.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
30.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
35.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
35.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
40.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
40.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
45.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
45.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
50.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
50.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
55.00000000000001,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
55.00000000000001,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
60.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
60.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
65.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
65.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
70.0,Male,0.8145,0.2145,0.5741,0.8733,0.1267,0.4259,0.5254,0.8935,0.7237,0.5487
70.0,Female,0.7764,0.2616,0.6216,0.805,0.195,0.3784,0.371,0.92,0.7133,0.4646
