Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
5.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
10.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
15.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
20.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
25.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
30.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
35.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
40.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
45.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
50.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
55.00000000000001,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
60.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
65.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
70.0,Independence (M_ind),0.01673,0.003964510618530924,0.013900000000000001,0.005492540395845987
0.0,Separation (M_sep),0.06168000000000001,0.011606586252832674,0.06550000000000002,0.01191817472975157
5.0,Separation (M_sep),0.09530999999999999,0.012845772759074392,0.08366,0.016497859793857438
10.0,Separation (M_sep),0.14762000000000003,0.012970366224590576,0.12329000000000004,0.020216524868972352
15.0,Separation (M_sep),0.17930000000000001,0.01277780193234432,0.15522,0.02143837576766382
20.0,Separation (M_sep),0.19767999999999997,0.012761041406475325,0.17059999999999997,0.01797782584803352
25.0,Separation (M_sep),0.21797,0.011575098271721065,0.18856,0.01997995217433938
30.0,Separation (M_sep),0.23381999999999997,0.01110188972903062,0.19791,0.02131007821039926
35.0,Separation (M_sep),0.24994,0.010772188470521877,0.21678000000000003,0.022265168612281682
40.0,Separation (M_sep),0.26452,0.011097435139106092,0.22954999999999998,0.02273149674888225
45.0,Separation (M_sep),0.27597,0.012792975937338946,0.23965999999999998,0.023507933412644618
50.0,Separation (M_sep),0.28679,0.012541774196659736,0.24474,0.0228696557813089
55.00000000000001,Separation (M_sep),0.29408,0.010368486442635256,0.2561,0.02267184254630497
60.0,Separation (M_sep),0.29732,0.011849573831999192,0.26102000000000003,0.023498845361705184
65.0,Separation (M_sep),0.30449000000000004,0.013522429515438413,0.26947,0.024388959478510854
70.0,Separation (M_sep),0.31601999999999997,0.013213274470100976,0.27534000000000003,0.024629933008435086
0.0,Sufficiency (M_suff),0.13196,0.024079203567486288,0.1365,0.02376426355312157
5.0,Sufficiency (M_suff),0.1264,0.029069869854083167,0.12340999999999998,0.025120927309494147
10.0,Sufficiency (M_suff),0.16241,0.02772874741731644,0.16420000000000004,0.022963783079739567
15.0,Sufficiency (M_suff),0.20670000000000002,0.028168863819630515,0.22179,0.028019899476384037
20.0,Sufficiency (M_suff),0.25628,0.03549067107471107,0.25998,0.030644741437606836
25.0,Sufficiency (M_suff),0.29211,0.036677890554877274,0.30161,0.03357570368254071
30.0,Sufficiency (M_suff),0.3612,0.03944812627573921,0.37128,0.03656994455074336
35.0,Sufficiency (M_suff),0.4264099999999999,0.04174113465422595,0.43421999999999994,0.04126273486923629
40.0,Sufficiency (M_suff),0.48292999999999997,0.04054063818496748,0.49047,0.04014960370636026
45.0,Sufficiency (M_suff),0.5490200000000001,0.037604833613660765,0.5499,0.04261687719932353
50.0,Sufficiency (M_suff),0.6155600000000001,0.03817656116286827,0.61122,0.04493722238362708
55.00000000000001,Sufficiency (M_suff),0.6871099999999999,0.040272980879106635,0.67242,0.046558793894267585
60.0,Sufficiency (M_suff),0.7756099999999999,0.03853202261323257,0.7498199999999999,0.044934833802840406
65.0,Sufficiency (M_suff),0.84504,0.03911417532188441,0.8247199999999999,0.041707813816278284
70.0,Sufficiency (M_suff),0.91206,0.038144165710862994,0.89484,0.0403952973060534
