Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8052,0.1948,0.5,0.8791,0.1209,0.5,0.5,0.8791,0.6895,0.5
0.0,Female,0.8531,0.1347,0.4615,0.9272,0.0728,0.5385,0.5455,0.9009,0.6944,0.5
5.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
5.0,Female,0.8204,0.1347,0.3878,0.9286,0.0714,0.6122,0.5758,0.8585,0.6582,0.4634
10.0,Male,0.8427,0.1423,0.4615,0.9349,0.0651,0.5385,0.6316,0.8777,0.6982,0.5333
10.0,Female,0.7429,0.1673,0.3167,0.8811,0.1189,0.6833,0.4634,0.799,0.5989,0.3762
15.0,Male,0.8464,0.0861,0.3269,0.9721,0.0279,0.6731,0.7391,0.8566,0.6495,0.4533
15.0,Female,0.7061,0.1224,0.2237,0.9231,0.0769,0.7763,0.5667,0.7256,0.5734,0.3208
20.0,Male,0.8464,0.1461,0.4808,0.9349,0.0651,0.5192,0.641,0.8816,0.7078,0.5495
20.0,Female,0.6776,0.2653,0.4146,0.8098,0.1902,0.5854,0.5231,0.7333,0.6122,0.4626
25.0,Male,0.8464,0.0936,0.3462,0.9674,0.0326,0.6538,0.72,0.8595,0.6568,0.4675
25.0,Female,0.6286,0.2041,0.2842,0.8467,0.1533,0.7158,0.54,0.6513,0.5654,0.3724
30.0,Male,0.8427,0.0974,0.3462,0.9628,0.0372,0.6538,0.6923,0.8589,0.6545,0.4615
30.0,Female,0.6204,0.2449,0.3429,0.8286,0.1714,0.6571,0.6,0.627,0.5857,0.4364
35.0,Male,0.8464,0.0936,0.3462,0.9674,0.0326,0.6538,0.72,0.8595,0.6568,0.4675
35.0,Female,0.6041,0.1796,0.2735,0.9062,0.0938,0.7265,0.7273,0.5771,0.5899,0.3975
40.0,Male,0.8427,0.0824,0.3077,0.9721,0.0279,0.6923,0.7273,0.8531,0.6399,0.4324
40.0,Female,0.5633,0.2041,0.272,0.8667,0.1333,0.728,0.68,0.5333,0.5693,0.3886
45.0,Male,0.8427,0.0899,0.3269,0.9674,0.0326,0.6731,0.7083,0.856,0.6472,0.4474
45.0,Female,0.5265,0.2653,0.3139,0.7963,0.2037,0.6861,0.6615,0.4778,0.5551,0.4257
50.0,Male,0.8427,0.1348,0.4423,0.9395,0.0605,0.5577,0.6389,0.8745,0.6909,0.5227
50.0,Female,0.4694,0.3184,0.3243,0.6907,0.3093,0.6757,0.6154,0.4012,0.5075,0.4248
55.00000000000001,Male,0.8015,0.191,0.4808,0.8791,0.1209,0.5192,0.4902,0.875,0.6799,0.4854
55.00000000000001,Female,0.5143,0.3673,0.4065,0.7,0.3,0.5935,0.7,0.4065,0.5532,0.5143
60.0,Male,0.8052,0.2022,0.5192,0.8744,0.1256,0.4808,0.5,0.8826,0.6968,0.5094
60.0,Female,0.5143,0.502,0.5119,0.5195,0.4805,0.4881,0.6992,0.3279,0.5157,0.5911
65.0,Male,0.794,0.206,0.5,0.8651,0.1349,0.5,0.4727,0.8774,0.6826,0.486
65.0,Female,0.4939,0.551,0.5318,0.4028,0.5972,0.4682,0.6815,0.2636,0.4673,0.5974
70.0,Male,0.794,0.1985,0.4808,0.8698,0.1302,0.5192,0.4717,0.8738,0.6753,0.4762
70.0,Female,0.5755,0.6408,0.6432,0.3667,0.6333,0.3568,0.758,0.25,0.505,0.6959
