Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8202,0.161,0.4528,0.9112,0.0888,0.5472,0.5581,0.8705,0.682,0.5
0.0,Female,0.8449,0.1551,0.5,0.9082,0.0918,0.5,0.5,0.9082,0.7041,0.5
5.0,Male,0.8427,0.1086,0.3774,0.9579,0.0421,0.6226,0.6897,0.8613,0.6677,0.4878
5.0,Female,0.8245,0.151,0.4211,0.8986,0.1014,0.5789,0.4324,0.8942,0.6598,0.4267
10.0,Male,0.8315,0.1049,0.3396,0.9533,0.0467,0.6604,0.6429,0.8536,0.6464,0.4444
10.0,Female,0.8204,0.1551,0.4211,0.8937,0.1063,0.5789,0.4211,0.8937,0.6574,0.4211
15.0,Male,0.8427,0.1011,0.3585,0.9626,0.0374,0.6415,0.7037,0.8583,0.6606,0.475
15.0,Female,0.849,0.1102,0.3684,0.9372,0.0628,0.6316,0.5185,0.8899,0.6528,0.4308
20.0,Male,0.8352,0.1086,0.3585,0.9533,0.0467,0.6415,0.6552,0.8571,0.6559,0.4634
20.0,Female,0.7918,0.2163,0.5263,0.8406,0.1594,0.4737,0.3774,0.9062,0.6834,0.4396
25.0,Male,0.839,0.0974,0.3396,0.9626,0.0374,0.6604,0.6923,0.8548,0.6511,0.4557
25.0,Female,0.7755,0.2408,0.5526,0.8164,0.1836,0.4474,0.3559,0.9086,0.6845,0.433
30.0,Male,0.824,0.1348,0.3962,0.9299,0.0701,0.6038,0.5833,0.8615,0.6631,0.4719
30.0,Female,0.7102,0.3061,0.5526,0.7391,0.2609,0.4474,0.28,0.9,0.6459,0.3717
35.0,Male,0.8315,0.1273,0.3962,0.9393,0.0607,0.6038,0.6176,0.8627,0.6677,0.4828
35.0,Female,0.7592,0.2327,0.4737,0.8116,0.1884,0.5263,0.3158,0.8936,0.6426,0.3789
40.0,Male,0.8352,0.1161,0.3774,0.9486,0.0514,0.6226,0.6452,0.8602,0.663,0.4762
40.0,Female,0.7878,0.1551,0.3158,0.8744,0.1256,0.6842,0.3158,0.8744,0.5951,0.3158
45.0,Male,0.8315,0.0974,0.3208,0.9579,0.0421,0.6792,0.6538,0.8506,0.6393,0.4304
45.0,Female,0.7755,0.2,0.4211,0.8406,0.1594,0.5789,0.3265,0.8878,0.6308,0.3678
50.0,Male,0.8202,0.1461,0.4151,0.9206,0.0794,0.5849,0.5641,0.864,0.6678,0.4783
50.0,Female,0.6776,0.298,0.4211,0.7246,0.2754,0.5789,0.2192,0.8721,0.5728,0.2883
55.00000000000001,Male,0.809,0.1573,0.4151,0.9065,0.0935,0.5849,0.5238,0.8622,0.6608,0.4632
55.00000000000001,Female,0.6571,0.3429,0.5,0.686,0.314,0.5,0.2262,0.882,0.593,0.3115
60.0,Male,0.824,0.2247,0.6226,0.8738,0.1262,0.3774,0.55,0.9034,0.7482,0.5841
60.0,Female,0.5306,0.4776,0.5263,0.5314,0.4686,0.4737,0.1709,0.8594,0.5289,0.2581
65.0,Male,0.8202,0.221,0.6038,0.8738,0.1262,0.3962,0.5424,0.899,0.7388,0.5714
65.0,Female,0.4857,0.5714,0.6842,0.4493,0.5507,0.3158,0.1857,0.8857,0.5667,0.2921
70.0,Male,0.8127,0.2285,0.6038,0.8645,0.1355,0.3962,0.5246,0.8981,0.7341,0.5614
70.0,Female,0.4286,0.6612,0.7895,0.3623,0.6377,0.2105,0.1852,0.9036,0.5759,0.3
