Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
0.0,Female,0.8293,0.1138,0.3654,0.9536,0.0464,0.6346,0.6786,0.8486,0.6595,0.475
5.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
5.0,Female,0.7805,0.1138,0.2969,0.9505,0.0495,0.7031,0.6786,0.7936,0.6237,0.413
10.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
10.0,Female,0.752,0.1138,0.2676,0.9486,0.0514,0.7324,0.6786,0.7615,0.6081,0.3838
15.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
15.0,Female,0.7317,0.1138,0.2564,0.9524,0.0476,0.7436,0.7143,0.7339,0.6044,0.3774
20.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
20.0,Female,0.6667,0.1138,0.2128,0.9474,0.0526,0.7872,0.7143,0.6606,0.5801,0.3279
25.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
25.0,Female,0.6463,0.1138,0.202,0.9456,0.0544,0.798,0.7143,0.6376,0.5738,0.315
30.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
30.0,Female,0.6016,0.1138,0.1875,0.9478,0.0522,0.8125,0.75,0.5826,0.5676,0.3
35.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
35.0,Female,0.5813,0.1138,0.1849,0.9528,0.0472,0.8151,0.7857,0.555,0.5688,0.2993
40.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
40.0,Female,0.5407,0.1138,0.1705,0.9487,0.0513,0.8295,0.7857,0.5092,0.5596,0.2803
45.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
45.0,Female,0.5203,0.1138,0.1642,0.9464,0.0536,0.8358,0.7857,0.4862,0.5553,0.2716
50.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
50.0,Female,0.5,0.1138,0.1678,0.9612,0.0388,0.8322,0.8571,0.4541,0.5645,0.2807
55.00000000000001,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
55.00000000000001,Female,0.439,0.1138,0.1562,0.9651,0.0349,0.8438,0.8929,0.3807,0.5607,0.266
60.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
60.0,Female,0.3984,0.1138,0.1471,0.9605,0.0395,0.8529,0.8929,0.3349,0.5538,0.2525
65.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
65.0,Female,0.3496,0.1138,0.1413,0.9677,0.0323,0.8587,0.9286,0.2752,0.5545,0.2453
70.0,Male,0.8534,0.0902,0.3077,0.9471,0.0529,0.6923,0.5,0.8884,0.6274,0.381
70.0,Female,0.3211,0.1138,0.1361,0.9636,0.0364,0.8639,0.9286,0.2431,0.5499,0.2374
