Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
0.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
5.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
5.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
10.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
10.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
15.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
15.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
20.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
20.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
25.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
25.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
30.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
30.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
35.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
35.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
40.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
40.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
45.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
45.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
50.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
50.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
55.00000000000001,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
55.00000000000001,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
60.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
60.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
65.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
65.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
70.0,Male,0.8486,0.0876,0.34,0.9751,0.0249,0.66,0.7727,0.8559,0.6576,0.4722
70.0,Female,0.8506,0.0766,0.2683,0.9591,0.0409,0.7317,0.55,0.8755,0.6137,0.3607
