Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.828,0.1254,0.3774,0.9336,0.0664,0.6226,0.5714,0.8648,0.6555,0.4545
0.0,Female,0.8798,0.103,0.4474,0.9641,0.0359,0.5526,0.7083,0.8995,0.7057,0.5484
5.0,Male,0.828,0.1326,0.3962,0.9292,0.0708,0.6038,0.5676,0.8678,0.6627,0.4667
5.0,Female,0.8584,0.1159,0.4318,0.9577,0.0423,0.5682,0.7037,0.8786,0.6947,0.5352
10.0,Male,0.8315,0.129,0.3962,0.9336,0.0664,0.6038,0.5833,0.8683,0.6649,0.4719
10.0,Female,0.8197,0.1159,0.3585,0.9556,0.0444,0.6415,0.7037,0.835,0.657,0.475
15.0,Male,0.828,0.1254,0.3774,0.9336,0.0664,0.6226,0.5714,0.8648,0.6555,0.4545
15.0,Female,0.794,0.1502,0.3934,0.936,0.064,0.6066,0.6857,0.8131,0.6647,0.5
20.0,Male,0.8315,0.129,0.3962,0.9336,0.0664,0.6038,0.5833,0.8683,0.6649,0.4719
20.0,Female,0.721,0.206,0.3803,0.8704,0.1296,0.6197,0.5625,0.7622,0.6253,0.4538
25.0,Male,0.828,0.1254,0.3774,0.9336,0.0664,0.6226,0.5714,0.8648,0.6555,0.4545
25.0,Female,0.691,0.2403,0.3974,0.8387,0.1613,0.6026,0.5536,0.7345,0.6181,0.4627
30.0,Male,0.8315,0.129,0.3962,0.9336,0.0664,0.6038,0.5833,0.8683,0.6649,0.4719
30.0,Female,0.6481,0.3004,0.4302,0.7755,0.2245,0.5698,0.5286,0.6994,0.6029,0.4744
35.0,Male,0.8315,0.129,0.3962,0.9336,0.0664,0.6038,0.5833,0.8683,0.6649,0.4719
35.0,Female,0.5837,0.3433,0.4158,0.7121,0.2879,0.5842,0.525,0.6144,0.564,0.4641
40.0,Male,0.8315,0.129,0.3962,0.9336,0.0664,0.6038,0.5833,0.8683,0.6649,0.4719
40.0,Female,0.5365,0.4464,0.4821,0.5868,0.4132,0.5179,0.5192,0.5504,0.5345,0.5
45.0,Male,0.828,0.1254,0.3774,0.9336,0.0664,0.6226,0.5714,0.8648,0.6555,0.4545
45.0,Female,0.5536,0.515,0.5667,0.5398,0.4602,0.4333,0.5667,0.5398,0.5532,0.5667
50.0,Male,0.8208,0.1183,0.3396,0.9336,0.0664,0.6604,0.5455,0.8577,0.6366,0.4186
50.0,Female,0.5408,0.6052,0.6308,0.4272,0.5728,0.3692,0.5816,0.4783,0.529,0.6052
55.00000000000001,Male,0.8244,0.1219,0.3585,0.9336,0.0664,0.6415,0.5588,0.8612,0.6461,0.4368
55.00000000000001,Female,0.5708,0.6996,0.7203,0.3333,0.6667,0.2797,0.6319,0.4286,0.5268,0.6732
60.0,Male,0.8208,0.1183,0.3396,0.9336,0.0664,0.6604,0.5455,0.8577,0.6366,0.4186
60.0,Female,0.6137,0.7811,0.8026,0.2593,0.7407,0.1974,0.6703,0.4118,0.5309,0.7305
65.0,Male,0.8244,0.1219,0.3585,0.9336,0.0664,0.6415,0.5588,0.8612,0.6461,0.4368
65.0,Female,0.6266,0.824,0.8221,0.1714,0.8286,0.1779,0.6979,0.2927,0.4968,0.7549
70.0,Male,0.8208,0.1183,0.3396,0.9336,0.0664,0.6604,0.5455,0.8577,0.6366,0.4186
70.0,Female,0.691,0.8798,0.8715,0.0926,0.9074,0.1285,0.761,0.1786,0.4821,0.8125
