Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8427,0.1423,0.4615,0.9349,0.0651,0.5385,0.6316,0.8777,0.6982,0.5333
0.0,Female,0.8531,0.1347,0.4615,0.9272,0.0728,0.5385,0.5455,0.9009,0.6944,0.5
5.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
5.0,Female,0.8612,0.1347,0.4872,0.932,0.068,0.5128,0.5758,0.9057,0.7096,0.5278
10.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
10.0,Female,0.8327,0.1633,0.4872,0.8981,0.1019,0.5128,0.475,0.9024,0.6926,0.481
15.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
15.0,Female,0.8122,0.2082,0.5641,0.8592,0.1408,0.4359,0.4314,0.9124,0.7117,0.4889
20.0,Male,0.8464,0.1461,0.4808,0.9349,0.0651,0.5192,0.641,0.8816,0.7078,0.5495
20.0,Female,0.7714,0.249,0.5641,0.8107,0.1893,0.4359,0.3607,0.9076,0.6874,0.44
25.0,Male,0.8427,0.1423,0.4615,0.9349,0.0651,0.5385,0.6316,0.8777,0.6982,0.5333
25.0,Female,0.751,0.2939,0.641,0.7718,0.2282,0.359,0.3472,0.9191,0.7064,0.4505
30.0,Male,0.8427,0.1273,0.4231,0.9442,0.0558,0.5769,0.6471,0.8712,0.6836,0.5116
30.0,Female,0.6939,0.3429,0.6154,0.7087,0.2913,0.3846,0.2857,0.9068,0.6621,0.3902
35.0,Male,0.839,0.1386,0.4423,0.9349,0.0651,0.5577,0.6216,0.8739,0.6886,0.5169
35.0,Female,0.5837,0.4694,0.6667,0.568,0.432,0.3333,0.2261,0.9,0.6173,0.3377
40.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
40.0,Female,0.5388,0.5143,0.6667,0.5146,0.4854,0.3333,0.2063,0.8908,0.5906,0.3152
45.0,Male,0.8464,0.1311,0.4423,0.9442,0.0558,0.5577,0.6571,0.875,0.6932,0.5287
45.0,Female,0.5143,0.5633,0.7436,0.4709,0.5291,0.2564,0.2101,0.9065,0.6072,0.3277
50.0,Male,0.8427,0.1348,0.4423,0.9395,0.0605,0.5577,0.6389,0.8745,0.6909,0.5227
50.0,Female,0.4367,0.649,0.7692,0.3738,0.6262,0.2308,0.1887,0.8953,0.5715,0.303
55.00000000000001,Male,0.8464,0.1461,0.4808,0.9349,0.0651,0.5192,0.641,0.8816,0.7078,0.5495
55.00000000000001,Female,0.3551,0.7388,0.7949,0.2718,0.7282,0.2051,0.1713,0.875,0.5334,0.2818
60.0,Male,0.8464,0.1311,0.4423,0.9442,0.0558,0.5577,0.6571,0.875,0.6932,0.5287
60.0,Female,0.2857,0.8245,0.8462,0.1796,0.8204,0.1538,0.1634,0.8605,0.5129,0.2739
65.0,Male,0.8464,0.1236,0.4231,0.9488,0.0512,0.5769,0.6667,0.8718,0.686,0.5176
65.0,Female,0.2653,0.8449,0.8462,0.1553,0.8447,0.1538,0.1594,0.8421,0.5007,0.2683
70.0,Male,0.8464,0.1386,0.4615,0.9395,0.0605,0.5385,0.6486,0.8783,0.7005,0.5393
70.0,Female,0.2286,0.8816,0.8462,0.1117,0.8883,0.1538,0.1528,0.7931,0.4789,0.2588
