Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
0.0,Female,0.8434,0.1406,0.45,0.9187,0.0813,0.55,0.5143,0.8972,0.6843,0.48
5.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
5.0,Female,0.8072,0.1406,0.3725,0.9192,0.0808,0.6275,0.5429,0.8505,0.6459,0.4419
10.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
10.0,Female,0.759,0.1406,0.3077,0.9185,0.0815,0.6923,0.5714,0.7897,0.6131,0.4
15.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
15.0,Female,0.7108,0.1406,0.2658,0.9176,0.0824,0.7342,0.6,0.729,0.5917,0.3684
20.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
20.0,Female,0.6667,0.1406,0.2333,0.9119,0.0881,0.7667,0.6,0.6776,0.5726,0.336
25.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
25.0,Female,0.6345,0.1406,0.22,0.9128,0.0872,0.78,0.6286,0.6355,0.5664,0.3259
30.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
30.0,Female,0.6185,0.1406,0.217,0.9161,0.0839,0.783,0.6571,0.6121,0.5665,0.3262
35.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
35.0,Female,0.5944,0.1406,0.2105,0.9185,0.0815,0.7895,0.6857,0.5794,0.5645,0.3221
40.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
40.0,Female,0.5582,0.1406,0.1951,0.9127,0.0873,0.8049,0.6857,0.5374,0.5539,0.3038
45.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
45.0,Female,0.502,0.1406,0.1752,0.9018,0.0982,0.8248,0.6857,0.472,0.5385,0.2791
50.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
50.0,Female,0.4618,0.1406,0.1633,0.8922,0.1078,0.8367,0.6857,0.4252,0.5277,0.2637
55.00000000000001,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
55.00000000000001,Female,0.4578,0.1406,0.1795,0.9247,0.0753,0.8205,0.8,0.4019,0.5521,0.2932
60.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
60.0,Female,0.3976,0.1406,0.1714,0.9324,0.0676,0.8286,0.8571,0.3224,0.5519,0.2857
65.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
65.0,Female,0.3494,0.1406,0.164,0.9333,0.0667,0.836,0.8857,0.2617,0.5487,0.2768
70.0,Male,0.8441,0.1445,0.4706,0.934,0.066,0.5294,0.6316,0.88,0.7023,0.5393
70.0,Female,0.3213,0.1406,0.1616,0.9412,0.0588,0.8384,0.9143,0.2243,0.5514,0.2747
