Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
0.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
5.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
5.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
10.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
10.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
15.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
15.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
20.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
20.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
25.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
25.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
30.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
30.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
35.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
35.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
40.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
40.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
45.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
45.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
50.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
50.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
55.00000000000001,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
55.00000000000001,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
60.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
60.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
65.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
65.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
70.0,Male,0.8421,0.1404,0.451,0.9274,0.0726,0.549,0.575,0.8857,0.6892,0.5055
70.0,Female,0.837,0.1718,0.525,0.9037,0.0963,0.475,0.5385,0.8989,0.7144,0.5316
