Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.03481,0.00994941036778897,0.00152,0.0011466666666666665
5.0,Independence (M_ind),0.032810000000000006,0.010013518085290725,7e-05,7e-05
10.0,Independence (M_ind),0.031470000000000005,0.009150106860335322,0.0,0.0
15.0,Independence (M_ind),0.03182,0.009330044658699835,0.0,0.0
20.0,Independence (M_ind),0.03395,0.008622338558779875,0.0010500000000000002,0.00105
25.0,Independence (M_ind),0.038740000000000004,0.007638749170439418,0.00499,0.0049900000000000005
30.0,Independence (M_ind),0.050260000000000006,0.00781443393841024,0.00041999999999999996,0.00042
35.0,Independence (M_ind),0.07399999999999998,0.010859220352615866,0.0,0.0
40.0,Independence (M_ind),0.15660000000000002,0.02982461697621241,0.00633,0.002459270442857213
45.0,Independence (M_ind),0.30282000000000003,0.046110403260965833,0.07250000000000001,0.014182790823937145
50.0,Independence (M_ind),0.5075099999999999,0.04616172163648627,0.14237,0.017865161939123617
55.00000000000001,Independence (M_ind),0.64049,0.03475408992718219,0.18667,0.023741384636209503
60.0,Independence (M_ind),0.74817,0.023432574904748878,0.23506,0.028170505458329602
65.0,Independence (M_ind),0.83703,0.018683040735145633,0.44306999999999996,0.023398599435768698
70.0,Independence (M_ind),0.90122,0.016407767808097613,0.58556,0.020683569431905222
0.0,Separation (M_sep),0.08895,0.01927911506728921,0.0081,0.006111628260946505
5.0,Separation (M_sep),0.14365,0.032161727600087384,0.00023,0.00022999999999999998
10.0,Separation (M_sep),0.19577000000000003,0.036522763221494246,0.0,0.0
15.0,Separation (M_sep),0.23809,0.036636983287989804,0.0,0.0
20.0,Separation (M_sep),0.23885,0.03433846968052012,0.00545,0.00545
25.0,Separation (M_sep),0.26332,0.034259661411053084,0.00737,0.007370000000000001
30.0,Separation (M_sep),0.28664999999999996,0.03088939497986683,0.00112,0.00112
35.0,Separation (M_sep),0.30337000000000003,0.027848606787413983,0.0,0.0
40.0,Separation (M_sep),0.37055000000000005,0.02165543426794608,0.02408,0.013155031145704078
45.0,Separation (M_sep),0.46204999999999996,0.04068860405568124,0.10818000000000001,0.019069648950914415
50.0,Separation (M_sep),0.73532,0.0726319134020607,0.21805,0.032758331425421804
55.00000000000001,Separation (M_sep),0.98428,0.06769818280837055,0.26317,0.025669904774095108
60.0,Separation (M_sep),1.23246,0.0590059134512993,0.35096000000000005,0.018207350164150742
65.0,Separation (M_sep),1.45722,0.05838474838897949,0.5826800000000001,0.05396396699032914
70.0,Separation (M_sep),1.65475,0.05748601810682121,0.8860899999999999,0.04939065689873833
0.0,Sufficiency (M_suff),0.08898999999999999,0.016650455115568327,0.14492999999999998,0.09724079396586141
5.0,Sufficiency (M_suff),0.11577,0.022497580363724057,0.0263,0.011467596861495339
10.0,Sufficiency (M_suff),0.14917999999999998,0.02575960144619219,0.06575,0.011206736565318398
15.0,Sufficiency (M_suff),0.20944000000000002,0.023316485345971184,0.10968,0.011357296235362439
20.0,Sufficiency (M_suff),0.26611,0.0283108438195999,0.2504,0.09829891601075207
25.0,Sufficiency (M_suff),0.32488,0.029509775404845836,0.18919,0.013097204536337772
30.0,Sufficiency (M_suff),0.39532999999999996,0.03329943626483119,0.32450999999999997,0.09580473364551925
35.0,Sufficiency (M_suff),0.46616,0.032170746546098875,0.26664,0.014800842318372738
40.0,Sufficiency (M_suff),0.5090399999999999,0.03348602760024612,0.45465999999999995,0.09621561342457192
45.0,Sufficiency (M_suff),0.5447500000000001,0.03629781214710697,0.8443099999999999,0.12664079336629427
50.0,Sufficiency (M_suff),0.5713999999999999,0.04361028930577431,0.5573,0.03480218703217116
55.00000000000001,Sufficiency (M_suff),0.65917,0.0660443387261753,0.57591,0.028321501254935856
60.0,Sufficiency (M_suff),0.7511000000000001,0.08911557913431546,0.71811,0.03234114493266364
65.0,Sufficiency (M_suff),0.99376,0.04086840181199489,0.80352,0.029348366602286784
70.0,Sufficiency (M_suff),1.06983,0.02545722359829,0.8932,0.03631377149236912
