Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
0.0,Female,0.8238,0.0,0.0,1.0,0.0,1.0,0.0,0.8238,0.5,0.0
5.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
5.0,Female,0.7533,0.0,0.0,1.0,0.0,1.0,0.0,0.7533,0.5,0.0
10.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
10.0,Female,0.7137,0.0,0.0,1.0,0.0,1.0,0.0,0.7137,0.5,0.0
15.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
15.0,Female,0.6564,0.0,0.0,1.0,0.0,1.0,0.0,0.6564,0.5,0.0
20.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
20.0,Female,0.6256,0.0,0.0,1.0,0.0,1.0,0.0,0.6256,0.5,0.0
25.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
25.0,Female,0.5683,0.0,0.0,1.0,0.0,1.0,0.0,0.5683,0.5,0.0
30.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
30.0,Female,0.5066,0.0,0.0,1.0,0.0,1.0,0.0,0.5066,0.5,0.0
35.0,Male,0.8211,0.0,0.0,1.0,0.0,1.0,0.0,0.8211,0.5,0.0
35.0,Female,0.4626,0.0,0.0,1.0,0.0,1.0,0.0,0.4626,0.5,0.0
40.0,Male,0.8421,0.0421,0.1765,0.9872,0.0128,0.8235,0.75,0.8462,0.5818,0.2857
40.0,Female,0.4449,0.0308,0.0458,0.9896,0.0104,0.9542,0.8571,0.4318,0.5177,0.087
45.0,Male,0.8491,0.0772,0.2941,0.9701,0.0299,0.7059,0.6818,0.8631,0.6321,0.411
45.0,Female,0.5022,0.1322,0.2014,0.9773,0.0227,0.7986,0.9333,0.4365,0.5894,0.3314
50.0,Male,0.8491,0.2105,0.6667,0.8889,0.1111,0.3333,0.5667,0.9244,0.7778,0.6126
50.0,Female,0.5419,0.37,0.4315,0.7407,0.2593,0.5685,0.75,0.4196,0.5861,0.5478
55.00000000000001,Male,0.8456,0.1439,0.4706,0.9274,0.0726,0.5294,0.5854,0.8893,0.699,0.5217
55.00000000000001,Female,0.5066,0.3524,0.3947,0.7333,0.2667,0.6053,0.75,0.3741,0.564,0.5172
60.0,Male,0.7895,0.2912,0.7255,0.8034,0.1966,0.2745,0.4458,0.9307,0.7645,0.5522
60.0,Female,0.5815,0.5551,0.5963,0.5455,0.4545,0.4037,0.7619,0.3564,0.5709,0.669
65.0,Male,0.807,0.2737,0.7255,0.8248,0.1752,0.2745,0.4744,0.9324,0.7751,0.5736
65.0,Female,0.6652,0.7533,0.7844,0.3333,0.6667,0.2156,0.7661,0.3571,0.5589,0.7751
70.0,Male,0.8105,0.2632,0.7059,0.8333,0.1667,0.2941,0.48,0.9286,0.7696,0.5714
70.0,Female,0.7445,0.8811,0.9034,0.1961,0.8039,0.0966,0.795,0.3704,0.5497,0.8457
