Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
0.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
5.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
5.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
10.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
10.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
15.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
15.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
20.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
20.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
25.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
25.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
30.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
30.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
35.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
35.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
40.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
40.0,Female,0.7886,0.0,0.0,1.0,0.0,1.0,0.0,0.7886,0.5,0.0
45.0,Male,0.8534,0.0,0.0,1.0,0.0,1.0,0.0,0.8534,0.5,0.0
45.0,Female,0.8374,0.065,0.2692,0.9897,0.0103,0.7308,0.875,0.8348,0.6295,0.4118
50.0,Male,0.8609,0.1278,0.4615,0.9295,0.0705,0.5385,0.5294,0.9095,0.6955,0.4932
50.0,Female,0.8415,0.2154,0.6346,0.8969,0.1031,0.3654,0.6226,0.9016,0.7658,0.6286
55.00000000000001,Male,0.8722,0.1391,0.5385,0.9295,0.0705,0.4615,0.5676,0.9214,0.734,0.5526
55.00000000000001,Female,0.6707,0.4675,0.8269,0.6289,0.3711,0.1731,0.3739,0.9313,0.7279,0.515
60.0,Male,0.8609,0.0902,0.3333,0.9515,0.0485,0.6667,0.5417,0.8926,0.6424,0.4127
60.0,Female,0.7561,0.374,0.8077,0.7423,0.2577,0.1923,0.4565,0.9351,0.775,0.5833
65.0,Male,0.8496,0.1692,0.5641,0.8987,0.1013,0.4359,0.4889,0.9231,0.7314,0.5238
65.0,Female,0.6667,0.4715,0.8269,0.6237,0.3763,0.1731,0.3707,0.9308,0.7253,0.5119
70.0,Male,0.7556,0.2857,0.641,0.7753,0.2247,0.359,0.3289,0.9263,0.7082,0.4348
70.0,Female,0.4146,0.7724,0.9423,0.2732,0.7268,0.0577,0.2579,0.9464,0.6078,0.405
