Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
0.0,Female,0.8394,0.0,0.0,1.0,0.0,1.0,0.0,0.8394,0.5,0.0
5.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
5.0,Female,0.7952,0.0,0.0,1.0,0.0,1.0,0.0,0.7952,0.5,0.0
10.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
10.0,Female,0.739,0.0,0.0,1.0,0.0,1.0,0.0,0.739,0.5,0.0
15.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
15.0,Female,0.6827,0.0,0.0,1.0,0.0,1.0,0.0,0.6827,0.5,0.0
20.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
20.0,Female,0.6386,0.0,0.0,1.0,0.0,1.0,0.0,0.6386,0.5,0.0
25.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
25.0,Female,0.5984,0.0,0.0,1.0,0.0,1.0,0.0,0.5984,0.5,0.0
30.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
30.0,Female,0.5743,0.0,0.0,1.0,0.0,1.0,0.0,0.5743,0.5,0.0
35.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
35.0,Female,0.5422,0.0,0.0,1.0,0.0,1.0,0.0,0.5422,0.5,0.0
40.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
40.0,Female,0.506,0.0,0.0,1.0,0.0,1.0,0.0,0.506,0.5,0.0
45.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
45.0,Female,0.4498,0.0,0.0,1.0,0.0,1.0,0.0,0.4498,0.5,0.0
50.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
50.0,Female,0.4096,0.0,0.0,1.0,0.0,1.0,0.0,0.4096,0.5,0.0
55.00000000000001,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
55.00000000000001,Female,0.3735,0.0,0.0,1.0,0.0,1.0,0.0,0.3735,0.5,0.0
60.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
60.0,Female,0.2972,0.0,0.0,1.0,0.0,1.0,0.0,0.2972,0.5,0.0
65.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
65.0,Female,0.241,0.0,0.0,1.0,0.0,1.0,0.0,0.241,0.5,0.0
70.0,Male,0.8061,0.0,0.0,1.0,0.0,1.0,0.0,0.8061,0.5,0.0
70.0,Female,0.2048,0.0,0.0,1.0,0.0,1.0,0.0,0.2048,0.5,0.0
