Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
0.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
5.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
5.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
10.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
10.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
15.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
15.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
20.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
20.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
25.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
25.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
30.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
30.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
35.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
35.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
40.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
40.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
45.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
45.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
50.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
50.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
55.00000000000001,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
55.00000000000001,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
60.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
60.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
65.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
65.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
70.0,Male,0.8545,0.1673,0.5556,0.9276,0.0724,0.4444,0.6522,0.8952,0.7416,0.6
70.0,Female,0.8481,0.1561,0.5135,0.91,0.09,0.4865,0.5135,0.91,0.7118,0.5135
