Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7509,0.3298,0.7255,0.7564,0.2436,0.2745,0.3936,0.9267,0.741,0.5103
0.0,Female,0.7445,0.3348,0.725,0.7487,0.2513,0.275,0.3816,0.9272,0.7368,0.5
5.0,Male,0.7404,0.3404,0.7255,0.7436,0.2564,0.2745,0.3814,0.9255,0.7345,0.5
5.0,Female,0.7313,0.348,0.6607,0.7544,0.2456,0.3393,0.4684,0.8716,0.7076,0.5481
10.0,Male,0.7298,0.3509,0.7255,0.7308,0.2692,0.2745,0.37,0.9243,0.7281,0.4901
10.0,Female,0.6784,0.37,0.5846,0.716,0.284,0.4154,0.4524,0.8112,0.6503,0.5101
15.0,Male,0.7404,0.3404,0.7255,0.7436,0.2564,0.2745,0.3814,0.9255,0.7345,0.5
15.0,Female,0.6432,0.3656,0.5128,0.7114,0.2886,0.4872,0.4819,0.7361,0.6121,0.4969
20.0,Male,0.7404,0.3474,0.7451,0.7393,0.2607,0.2549,0.3838,0.9301,0.7422,0.5067
20.0,Female,0.6564,0.3656,0.5294,0.7324,0.2676,0.4706,0.5422,0.7222,0.6309,0.5357
25.0,Male,0.7474,0.3333,0.7255,0.7521,0.2479,0.2745,0.3895,0.9263,0.7388,0.5068
25.0,Female,0.6476,0.37,0.5204,0.7442,0.2558,0.4796,0.6071,0.6713,0.6323,0.5604
30.0,Male,0.7544,0.3404,0.7647,0.7521,0.2479,0.2353,0.4021,0.9362,0.7584,0.527
30.0,Female,0.5903,0.3833,0.4732,0.7043,0.2957,0.5268,0.6092,0.5786,0.5888,0.5327
35.0,Male,0.7509,0.3368,0.7451,0.7521,0.2479,0.2549,0.3958,0.9312,0.7486,0.517
35.0,Female,0.5991,0.4185,0.5164,0.6952,0.3048,0.4836,0.6632,0.553,0.6058,0.5806
40.0,Male,0.7579,0.3439,0.7843,0.7521,0.2479,0.2157,0.4082,0.9412,0.7682,0.5369
40.0,Female,0.5727,0.5374,0.5954,0.5417,0.4583,0.4046,0.6393,0.4952,0.5685,0.6166
45.0,Male,0.7649,0.3298,0.7647,0.765,0.235,0.2353,0.4149,0.9372,0.7648,0.5379
45.0,Female,0.5727,0.7225,0.741,0.3068,0.6932,0.259,0.628,0.4286,0.5239,0.6799
50.0,Male,0.7754,0.3053,0.7255,0.7863,0.2137,0.2745,0.4253,0.9293,0.7559,0.5362
50.0,Female,0.6388,0.9075,0.9247,0.1235,0.8765,0.0753,0.6553,0.4762,0.5241,0.767
55.00000000000001,Male,0.8175,0.2561,0.7059,0.8419,0.1581,0.2941,0.4932,0.9292,0.7739,0.5806
55.00000000000001,Female,0.6608,0.9824,0.9803,0.0133,0.9867,0.0197,0.6682,0.25,0.4968,0.7947
60.0,Male,0.8246,0.2211,0.6275,0.8675,0.1325,0.3725,0.5079,0.9144,0.7475,0.5614
60.0,Female,0.7093,1.0,1.0,0.0,1.0,0.0,0.7093,0.0,0.5,0.8299
65.0,Male,0.8561,0.1825,0.6078,0.9103,0.0897,0.3922,0.5962,0.9142,0.759,0.6019
65.0,Female,0.7357,1.0,1.0,0.0,1.0,0.0,0.7357,0.0,0.5,0.8477
70.0,Male,0.8421,0.1123,0.3725,0.9444,0.0556,0.6275,0.5938,0.8735,0.6585,0.4578
70.0,Female,0.7753,1.0,1.0,0.0,1.0,0.0,0.7753,0.0,0.5,0.8734
