Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
0.0,Female,0.7093,0.3436,0.6667,0.7173,0.2827,0.3333,0.3077,0.9195,0.692,0.4211
5.0,Male,0.7228,0.3509,0.6909,0.7304,0.2696,0.3091,0.38,0.9081,0.7107,0.4903
5.0,Female,0.6916,0.3612,0.6667,0.6963,0.3037,0.3333,0.2927,0.9172,0.6815,0.4068
10.0,Male,0.7158,0.3579,0.6909,0.7217,0.2783,0.3091,0.3725,0.9071,0.7063,0.4841
10.0,Female,0.6828,0.37,0.6667,0.6859,0.3141,0.3333,0.2857,0.9161,0.6763,0.4
15.0,Male,0.7123,0.3614,0.6909,0.7174,0.2826,0.3091,0.3689,0.9066,0.7042,0.481
15.0,Female,0.674,0.3877,0.6944,0.6702,0.3298,0.3056,0.2841,0.9209,0.6823,0.4032
20.0,Male,0.7123,0.3614,0.6909,0.7174,0.2826,0.3091,0.3689,0.9066,0.7042,0.481
20.0,Female,0.6652,0.3965,0.6944,0.6597,0.3403,0.3056,0.2778,0.9197,0.6771,0.3968
25.0,Male,0.7053,0.3614,0.6727,0.713,0.287,0.3273,0.3592,0.9011,0.6929,0.4684
25.0,Female,0.6608,0.4009,0.6944,0.6545,0.3455,0.3056,0.2747,0.9191,0.6744,0.3937
30.0,Male,0.7123,0.3544,0.6727,0.7217,0.2783,0.3273,0.3663,0.9022,0.6972,0.4744
30.0,Female,0.6256,0.4361,0.6944,0.6126,0.3874,0.3056,0.2525,0.9141,0.6535,0.3704
35.0,Male,0.7088,0.3579,0.6727,0.7174,0.2826,0.3273,0.3627,0.9016,0.6951,0.4713
35.0,Female,0.5771,0.511,0.7778,0.5393,0.4607,0.2222,0.2414,0.9279,0.6585,0.3684
40.0,Male,0.7333,0.3333,0.6727,0.7478,0.2522,0.3273,0.3895,0.9053,0.7103,0.4933
40.0,Female,0.4405,0.6828,0.8889,0.356,0.644,0.1111,0.2065,0.9444,0.6225,0.3351
45.0,Male,0.7474,0.3193,0.6727,0.7652,0.2348,0.3273,0.4066,0.9072,0.719,0.5068
45.0,Female,0.348,0.8018,0.9722,0.2304,0.7696,0.0278,0.1923,0.9778,0.6013,0.3211
50.0,Male,0.7544,0.3123,0.6727,0.7739,0.2261,0.3273,0.4157,0.9082,0.7233,0.5139
50.0,Female,0.2159,0.9339,0.9722,0.0733,0.9267,0.0278,0.1651,0.9333,0.5228,0.2823
55.00000000000001,Male,0.807,0.2246,0.5818,0.8609,0.1391,0.4182,0.5,0.8959,0.7213,0.5378
55.00000000000001,Female,0.1718,0.978,0.9722,0.0209,0.9791,0.0278,0.1577,0.8,0.4966,0.2713
60.0,Male,0.807,0.1684,0.4364,0.8957,0.1043,0.5636,0.5,0.8692,0.666,0.466
60.0,Female,0.1542,0.9956,0.9722,0.0,1.0,0.0278,0.1549,0.0,0.4861,0.2672
65.0,Male,0.786,0.1263,0.2727,0.9087,0.0913,0.7273,0.4167,0.8394,0.5907,0.3297
65.0,Female,0.1586,1.0,1.0,0.0,1.0,0.0,0.1586,0.0,0.5,0.2738
70.0,Male,0.807,0.0982,0.2545,0.9391,0.0609,0.7455,0.5,0.8405,0.5968,0.3373
70.0,Female,0.1586,1.0,1.0,0.0,1.0,0.0,0.1586,0.0,0.5,0.2738
