Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
0.0,Female,0.7093,0.3436,0.6667,0.7173,0.2827,0.3333,0.3077,0.9195,0.692,0.4211
5.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
5.0,Female,0.7004,0.3436,0.6042,0.7263,0.2737,0.3958,0.3718,0.8725,0.6652,0.4603
10.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
10.0,Female,0.6872,0.3436,0.5614,0.7294,0.2706,0.4386,0.4103,0.8322,0.6454,0.4741
15.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
15.0,Female,0.6652,0.3436,0.5156,0.7239,0.2761,0.4844,0.4231,0.7919,0.6198,0.4648
20.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
20.0,Female,0.6696,0.3436,0.5211,0.7372,0.2628,0.4789,0.4744,0.7718,0.6292,0.4966
25.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
25.0,Female,0.6388,0.3436,0.4756,0.731,0.269,0.5244,0.5,0.7114,0.6033,0.4875
30.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
30.0,Female,0.6211,0.3436,0.4556,0.7299,0.2701,0.5444,0.5256,0.6711,0.5927,0.4881
35.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
35.0,Female,0.6167,0.3436,0.4526,0.7348,0.2652,0.5474,0.5513,0.651,0.5937,0.4971
40.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
40.0,Female,0.5859,0.3436,0.4245,0.7273,0.2727,0.5755,0.5769,0.5906,0.5759,0.4891
45.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
45.0,Female,0.5727,0.3436,0.4174,0.7321,0.2679,0.5826,0.6154,0.5503,0.5748,0.4974
50.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
50.0,Female,0.5463,0.3436,0.4031,0.7347,0.2653,0.5969,0.6667,0.4832,0.5689,0.5024
55.00000000000001,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
55.00000000000001,Female,0.5066,0.3436,0.3786,0.7126,0.2874,0.6214,0.6795,0.4161,0.5456,0.4862
60.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
60.0,Female,0.4714,0.3436,0.3618,0.6933,0.3067,0.6382,0.7051,0.349,0.5276,0.4783
65.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
65.0,Female,0.5066,0.3436,0.3951,0.7846,0.2154,0.6049,0.8205,0.3423,0.5898,0.5333
70.0,Male,0.7298,0.3439,0.6909,0.7391,0.2609,0.3091,0.3878,0.9091,0.715,0.4967
70.0,Female,0.4493,0.3436,0.3672,0.74,0.26,0.6328,0.8333,0.2483,0.5536,0.5098
