Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
0.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
5.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
5.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
10.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
10.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
15.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
15.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
20.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
20.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
25.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
25.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
30.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
30.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
35.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
35.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
40.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
40.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
45.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
45.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
50.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
50.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
55.00000000000001,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
55.00000000000001,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
60.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
60.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
65.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
65.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
70.0,Male,0.7927,0.3091,0.7593,0.8009,0.1991,0.2407,0.4824,0.9316,0.7801,0.5899
70.0,Female,0.7848,0.27,0.6757,0.805,0.195,0.3243,0.3906,0.9306,0.7403,0.495
