Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
5.0,Male,Accuracy,0.73854,0.009935729017596604,0.81304,0.004900503375504744
10.0,Male,Accuracy,0.733,0.009215747392371385,0.81229,0.004963275128380459
15.0,Male,Accuracy,0.73289,0.010193597663893413,0.81229,0.004963275128380459
20.0,Male,Accuracy,0.7314,0.010630804296947622,0.81334,0.004949976430920325
25.0,Male,Accuracy,0.7318299999999999,0.01080975947928537,0.81491,0.005021585628287369
30.0,Male,Accuracy,0.7324499999999999,0.010968573795672395,0.81229,0.004963275128380459
35.0,Male,Accuracy,0.7321599999999999,0.01101855203231754,0.81229,0.004963275128380459
40.0,Male,Accuracy,0.7444499999999998,0.012292104511975708,0.8169500000000001,0.005522625180916131
45.0,Male,Accuracy,0.7533799999999999,0.013514139097832154,0.8194600000000001,0.005942580808593744
50.0,Male,Accuracy,0.7660600000000002,0.014036287891667717,0.8267200000000001,0.007588643562001783
55.00000000000001,Male,Accuracy,0.78568,0.014761540118384216,0.8330500000000001,0.008425045334530186
60.0,Male,Accuracy,0.8023900000000002,0.012161628637280085,0.8152000000000001,0.013568026139911933
65.0,Male,Accuracy,0.8200900000000001,0.008264535343529266,0.80609,0.011933207168793035
70.0,Male,Accuracy,0.82087,0.004811238001919161,0.8036999999999999,0.01120828066902125
0.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
5.0,Male,Selection rate,0.33848999999999996,0.0068462552619012905,0.00075,0.0007499999999999999
10.0,Male,Selection rate,0.34477,0.006714164960075908,0.0,0.0
15.0,Male,Selection rate,0.34565,0.006860907779263291,0.0,0.0
20.0,Male,Selection rate,0.34783,0.0077687557991396984,0.0010500000000000002,0.00105
25.0,Male,Selection rate,0.34598999999999996,0.008030655847023538,0.01011,0.01011
30.0,Male,Selection rate,0.34678,0.008727018072884028,0.0,0.0
35.0,Male,Selection rate,0.3456,0.00975735619929907,0.0,0.0
40.0,Male,Selection rate,0.33472999999999997,0.009702772226992082,0.00979,0.004692155391951786
45.0,Male,Selection rate,0.32510999999999995,0.009446062671822584,0.028759999999999997,0.010767979280151767
50.0,Male,Selection rate,0.30874999999999997,0.009783935245538417,0.11576,0.018409020735618842
55.00000000000001,Male,Selection rate,0.27451,0.013979560078915217,0.12268000000000001,0.014746553646342062
60.0,Male,Selection rate,0.22128,0.01703771502676733,0.21156999999999995,0.02915980509765683
65.0,Male,Selection rate,0.15412,0.01562580344600985,0.22688999999999998,0.016249625294825175
70.0,Male,Selection rate,0.09595,0.016056997436216608,0.22085,0.013322956378622075
0.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
5.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.00385,0.0038499999999999997
10.0,Male,TPR,0.7055399999999998,0.020757296976672508,0.0,0.0
15.0,Male,TPR,0.7081,0.020379483146864472,0.0,0.0
20.0,Male,TPR,0.7100599999999999,0.020657773355325586,0.00545,0.00545
25.0,Male,TPR,0.70628,0.020629885549313588,0.03208,0.03207999999999999
30.0,Male,TPR,0.7102,0.02139395553265766,0.0,0.0
35.0,Male,TPR,0.70628,0.01999953777243642,0.0,0.0
40.0,Male,TPR,0.7102,0.02119350005177164,0.03863,0.018636851486593255
45.0,Male,TPR,0.7082400000000001,0.020511737561156974,0.09541000000000001,0.03543864322083075
50.0,Male,TPR,0.6985500000000001,0.01835059339034512,0.35279,0.05238251712165042
55.00000000000001,Male,TPR,0.66086,0.02286052492835631,0.38503,0.04565945453998425
60.0,Male,TPR,0.56541,0.03830313143566433,0.5660100000000001,0.046648111668343255
65.0,Male,TPR,0.43846000000000007,0.04490449173276297,0.58876,0.02967380513367153
70.0,Male,TPR,0.28786999999999996,0.04704500221419203,0.56837,0.03029669600614708
0.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
5.0,Male,TNR,0.74633,0.009321302364893964,1.0,0.0
10.0,Male,TNR,0.73909,0.008697898213553275,1.0,0.0
15.0,Male,TNR,0.73857,0.009843577150157918,1.0,0.0
20.0,Male,TNR,0.7363299999999999,0.010722852543361151,1.0,0.0
25.0,Male,TNR,0.7377199999999999,0.010976275425763614,0.99533,0.004669999999999995
30.0,Male,TNR,0.73764,0.011475657328062352,1.0,0.0
35.0,Male,TNR,0.7381800000000001,0.012240713486830193,1.0,0.0
40.0,Male,TNR,0.7525900000000001,0.013257789743727603,0.9968299999999999,0.0017859980092063078
45.0,Male,TNR,0.7640999999999999,0.014211458600564386,0.98668,0.005567520892541754
50.0,Male,TNR,0.7820400000000001,0.015022946892448678,0.9377700000000001,0.012286560408294366
55.00000000000001,Male,TNR,0.8152699999999999,0.017718609488958835,0.9372399999999999,0.00972639250241893
60.0,Male,TNR,0.8582299999999998,0.016900204140778894,0.8711499999999999,0.025177270393043887
65.0,Male,TNR,0.9104800000000001,0.01304196474632731,0.85646,0.01580879642618136
70.0,Male,TNR,0.9466000000000001,0.01099864638136085,0.85936,0.014833544567784341
0.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
5.0,Male,FPR,0.25367,0.009321302364893962,0.0,0.0
10.0,Male,FPR,0.26091000000000003,0.00869789821355328,0.0,0.0
15.0,Male,FPR,0.26143,0.00984357715015792,0.0,0.0
20.0,Male,FPR,0.26366999999999996,0.01072285254336115,0.0,0.0
25.0,Male,FPR,0.26227999999999996,0.010976275425763614,0.00467,0.00467
30.0,Male,FPR,0.26236000000000004,0.011475657328062352,0.0,0.0
35.0,Male,FPR,0.26182000000000005,0.012240713486830198,0.0,0.0
40.0,Male,FPR,0.24741000000000005,0.013257789743727606,0.0031700000000000005,0.0017859980092063063
45.0,Male,FPR,0.2359,0.014211458600564388,0.013320000000000002,0.00556752089254175
50.0,Male,FPR,0.21796,0.015022946892448675,0.06223000000000001,0.012286560408294367
55.00000000000001,Male,FPR,0.18473,0.01771860948895884,0.06276,0.009726392502418926
60.0,Male,FPR,0.14177,0.016900204140778894,0.12885000000000002,0.02517727039304389
65.0,Male,FPR,0.08952,0.013041964746327312,0.14354000000000003,0.015808796426181358
70.0,Male,FPR,0.0534,0.010998646381360855,0.14064000000000002,0.014833544567784343
0.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
5.0,Male,FNR,0.29635,0.02014577568071723,0.9961500000000001,0.0038499999999999984
10.0,Male,FNR,0.29446,0.02075729697667251,1.0,0.0
15.0,Male,FNR,0.2919,0.020379483146864483,1.0,0.0
20.0,Male,FNR,0.28994,0.020657773355325593,0.9945499999999999,0.005449999999999997
25.0,Male,FNR,0.29372000000000004,0.02062988554931359,0.96792,0.03207999999999999
30.0,Male,FNR,0.2898,0.021393955532657664,1.0,0.0
35.0,Male,FNR,0.29372000000000004,0.01999953777243642,1.0,0.0
40.0,Male,FNR,0.2898,0.02119350005177164,0.96137,0.018636851486593255
45.0,Male,FNR,0.29176,0.020511737561156974,0.90459,0.035438643220830755
50.0,Male,FNR,0.30145000000000005,0.018350593390345112,0.64721,0.05238251712165043
55.00000000000001,Male,FNR,0.33914,0.0228605249283563,0.6149699999999999,0.04565945453998424
60.0,Male,FNR,0.43459000000000003,0.03830313143566433,0.43399,0.04664811166834325
65.0,Male,FNR,0.56154,0.04490449173276296,0.41124,0.029673805133671526
70.0,Male,FNR,0.7121299999999999,0.04704500221419203,0.43163,0.030296696006147084
0.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
5.0,Male,PPV,0.39168000000000003,0.01740781306067926,0.1,0.09999999999999999
10.0,Male,PPV,0.38539,0.017019834507616887,0.0,0.0
15.0,Male,PPV,0.38627,0.017901998957285933,0.0,0.0
20.0,Male,PPV,0.38521,0.018225833009464586,0.1,0.09999999999999999
25.0,Male,PPV,0.38533,0.018204627311635788,0.06296,0.06296
30.0,Male,PPV,0.3867,0.018276554501449237,0.0,0.0
35.0,Male,PPV,0.38618,0.018015165216499616,0.0,0.0
40.0,Male,PPV,0.40188999999999997,0.020659571093751626,0.31214,0.13143161145207374
45.0,Male,PPV,0.41381999999999997,0.023269893759008772,0.31878,0.10770240562669794
50.0,Male,PPV,0.43100000000000005,0.025262919686986123,0.6155999999999999,0.05158657878858717
55.00000000000001,Male,PPV,0.46149000000000007,0.028169200872189784,0.5970699999999999,0.031192798492244614
60.0,Male,PPV,0.48895999999999995,0.030646686244646056,0.54593,0.041155593787479246
65.0,Male,PPV,0.54407,0.035048950055600804,0.49747,0.026566662693433416
70.0,Male,PPV,0.6181899999999999,0.05711146109923024,0.49118000000000006,0.029982079091795264
0.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
5.0,Male,NPV,0.91626,0.005709352950301035,0.8129,0.004903581457578855
10.0,Male,NPV,0.91616,0.005679753515778655,0.81229,0.004963275128380459
15.0,Male,NPV,0.91658,0.005847578796200848,0.81229,0.004963275128380459
20.0,Male,NPV,0.9168800000000001,0.00589788662714592,0.81315,0.004935860839025172
25.0,Male,NPV,0.9160400000000001,0.005885787023745331,0.81714,0.006043788363086334
30.0,Male,NPV,0.91708,0.006055205290583556,0.81229,0.004963275128380459
35.0,Male,NPV,0.9160999999999999,0.005556077753235646,0.81229,0.004963275128380459
40.0,Male,NPV,0.91853,0.005940539631305488,0.81785,0.0056880234801828244
45.0,Male,NPV,0.9190399999999999,0.0058749600471454735,0.82568,0.006897903063008836
50.0,Male,NPV,0.91827,0.005282298531678967,0.86295,0.010820425643712503
55.00000000000001,Male,NPV,0.9123699999999999,0.006024746191057896,0.8687800000000001,0.009495224530725372
60.0,Male,NPV,0.89578,0.008481297070613668,0.8997999999999999,0.0067592570268895395
65.0,Male,NPV,0.87523,0.01008448808814805,0.90036,0.007055985638685312
70.0,Male,NPV,0.8516300000000001,0.010264848865045322,0.89603,0.007457703697817745
0.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
5.0,Male,ROC AUC,0.7249800000000001,0.013010165256444666,0.5019199999999999,0.001919999999999999
10.0,Male,ROC AUC,0.7222999999999999,0.01269320903300483,0.5,0.0
15.0,Male,ROC AUC,0.7233499999999998,0.013071310824346065,0.5,0.0
20.0,Male,ROC AUC,0.7232000000000001,0.013142272761335205,0.50273,0.002729999999999998
25.0,Male,ROC AUC,0.72201,0.013176944933397033,0.5137,0.013699999999999999
30.0,Male,ROC AUC,0.72393,0.01328861710052797,0.5,0.0
35.0,Male,ROC AUC,0.7222299999999999,0.012366011213537425,0.5,0.0
40.0,Male,ROC AUC,0.73139,0.013776618275582405,0.51773,0.008580741356212888
45.0,Male,ROC AUC,0.73615,0.014639810639333952,0.54105,0.015347270839540895
50.0,Male,ROC AUC,0.74029,0.01423322755620336,0.64528,0.021541137904535643
55.00000000000001,Male,ROC AUC,0.7380500000000001,0.014256142925458869,0.6611299999999999,0.02026552655784366
60.0,Male,ROC AUC,0.71183,0.017366315095609663,0.7186000000000001,0.013321753304693464
65.0,Male,ROC AUC,0.67445,0.019010764494534843,0.7226000000000001,0.013542082557716151
70.0,Male,ROC AUC,0.61723,0.018606188038750263,0.7138599999999999,0.014675672992329093
0.0,Male,F1,0.51499,0.019643056166379905,0.06416999999999999,0.05968072469399143
5.0,Male,F1,0.50234,0.01877680128953456,0.00741,0.007409999999999998
10.0,Male,F1,0.49753,0.018534808394537618,0.0,0.0
15.0,Male,F1,0.49867999999999996,0.019132217156757687,0.0,0.0
20.0,Male,F1,0.4981,0.01932878682173302,0.01034,0.010340000000000002
25.0,Male,F1,0.49722999999999995,0.01937559203396548,0.042499999999999996,0.0425
30.0,Male,F1,0.4991899999999999,0.019376580652369444,0.0,0.0
35.0,Male,F1,0.49767,0.018689533910126753,0.0,0.0
40.0,Male,F1,0.51122,0.020949965791539297,0.06674000000000001,0.031002212107453807
45.0,Male,F1,0.52005,0.022959777631520926,0.14321,0.05123574153958456
50.0,Male,F1,0.5303800000000001,0.02379375174751182,0.4121,0.0418992760478428
55.00000000000001,Male,F1,0.5386399999999998,0.024288406928226293,0.45192,0.034638131845955225
60.0,Male,F1,0.51471,0.027583986699210503,0.5315500000000001,0.018430224270655708
65.0,Male,F1,0.46756000000000003,0.030265015373456456,0.5324,0.019312264381878046
70.0,Male,F1,0.35429000000000005,0.03763253158283844,0.51967,0.02404722229281378
0.0,Female,Accuracy,0.7402899999999999,0.008909451286259,0.83369,0.005492266279860156
5.0,Female,Accuracy,0.7051800000000001,0.009998375423593128,0.78898,0.00764849731065594
10.0,Female,Accuracy,0.67765,0.009374104401665969,0.7465400000000001,0.007379719958553079
15.0,Female,Accuracy,0.65189,0.009399638881952378,0.7026099999999998,0.00843827852375379
20.0,Female,Accuracy,0.64176,0.008580056979867773,0.6627500000000001,0.008909461263174111
25.0,Female,Accuracy,0.62022,0.007538962498617135,0.6323799999999999,0.011679476776712975
30.0,Female,Accuracy,0.6017499999999999,0.007085325210132091,0.5879399999999999,0.012434496817769149
35.0,Female,Accuracy,0.58054,0.008475916207440672,0.5456500000000001,0.011613816006043073
40.0,Female,Accuracy,0.55394,0.007688594727834787,0.51373,0.009953291471222524
45.0,Female,Accuracy,0.5548599999999999,0.010574699365309003,0.5195400000000001,0.007562189571222818
50.0,Female,Accuracy,0.5762499999999999,0.010879575665744818,0.53972,0.010022073415993102
55.00000000000001,Female,Accuracy,0.6,0.01205643212379001,0.5189,0.008450601556496823
60.0,Female,Accuracy,0.65514,0.01374129380937456,0.53288,0.01255382898649739
65.0,Female,Accuracy,0.70422,0.009798603075041984,0.5993400000000001,0.016450897982920095
