Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
5.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
10.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
15.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
20.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
25.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
30.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
35.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
40.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
45.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
50.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
55.00000000000001,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
60.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
65.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
70.0,Male,Accuracy,0.75103,0.011010167523198217,0.81778,0.006371042126511002
0.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
5.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
10.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
15.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
20.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
25.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
30.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
35.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
40.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
45.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
50.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
55.00000000000001,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
60.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
65.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
70.0,Male,Selection rate,0.32599,0.008516878014337828,0.01713,0.01669029025777829
0.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
5.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
10.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
15.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
20.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
25.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
30.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
35.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
40.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
45.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
50.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
55.00000000000001,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
60.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
65.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
70.0,Male,TPR,0.7036499999999999,0.02014577568071723,0.05769,0.055363815800575006
0.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
5.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
10.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
15.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
20.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
25.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
30.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
35.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
40.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
45.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
50.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
55.00000000000001,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
60.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
65.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
70.0,Male,TNR,0.7617299999999999,0.01118593412381023,0.99276,0.007240000000000001
0.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
5.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
10.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
15.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
20.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
25.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
30.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
35.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
40.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
45.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
50.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
55.00000000000001,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
60.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
65.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
70.0,Male,FPR,0.23827000000000004,0.011185934123810233,0.007240000000000001,0.007240000000000001
0.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
5.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
10.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
15.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
20.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
25.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
30.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
35.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
40.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
45.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
50.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
55.00000000000001,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
60.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
65.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
70.0,Male,FNR,0.29635,0.02014577568071723,0.94231,0.055363815800575006
0.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
5.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
10.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
15.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
20.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
25.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
30.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
35.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
40.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
45.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
50.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
55.00000000000001,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
60.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
65.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
70.0,Male,PPV,0.40776,0.01928953775150319,0.16522,0.11315615346355085
0.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
5.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
10.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
15.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
20.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
25.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
30.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
35.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
40.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
45.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
50.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
55.00000000000001,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
60.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
65.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
70.0,Male,NPV,0.91781,0.005663733554624347,0.8217800000000001,0.009509361469391913
0.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
5.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
10.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
15.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
20.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
25.0,Male,ROC AUC,0.73269,0.013254478907565969,0.52522,0.024065289895984585
