Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.07919999957084656,0.2216,0.0625
5.0,0.007799999788403511,0.1329,0.1403
10.0,0.0617000013589859,0.287,0.2533
15.0,0.09669999778270721,0.2856,0.3483
20.0,0.1964000016450882,0.3022,0.3319
25.0,0.13210000097751617,0.4007,0.4384
30.0,0.21930000185966492,0.3525,0.3922
35.0,0.30309998989105225,0.4397,0.423
40.0,0.2685999870300293,0.326,0.332
45.0,0.29260000586509705,0.3318,0.4087
50.0,0.3709999918937683,0.5001,0.5322
55.00000000000001,0.3481000065803528,0.4354,0.6416
60.0,0.4081000089645386,0.5468,0.7294
65.0,0.4652000069618225,0.7114,0.8292
70.0,0.5339000225067139,0.8506,0.9535
