Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.02979999966919422,0.077,0.162
5.0,0.0828000009059906,0.1708,0.2861
10.0,0.09860000014305115,0.1957,0.2896
15.0,0.1527000069618225,0.325,0.381
20.0,0.17479999363422394,0.3549,0.3424
25.0,0.23680000007152557,0.4643,0.4143
30.0,0.3596000075340271,0.749,0.4718
35.0,0.32429999113082886,0.5221,0.4555
40.0,0.3366999924182892,0.6776,0.4568
45.0,0.33570000529289246,0.5749,0.439
50.0,0.3808000087738037,0.682,0.3555
55.00000000000001,0.3400999903678894,0.6039,0.3162
60.0,0.38769999146461487,0.6884,0.379
65.0,0.3749000132083893,0.6456,0.3383
70.0,0.4830999970436096,0.8453,0.3843
