Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.0008999999845400453,0.0691,0.1384
5.0,0.0008999999845400453,0.1651,0.1494
10.0,0.0008999999845400453,0.2268,0.1686
15.0,0.0008999999845400453,0.2848,0.2132
20.0,0.0008999999845400453,0.3159,0.2428
25.0,0.0008999999845400453,0.3378,0.2674
30.0,0.0008999999845400453,0.3264,0.3148
35.0,0.0008999999845400453,0.3215,0.3857
40.0,0.0008999999845400453,0.3348,0.4461
45.0,0.0008999999845400453,0.3458,0.5469
50.0,0.0008999999845400453,0.3759,0.5969
55.00000000000001,0.0008999999845400453,0.3348,0.7035
60.0,0.0008999999845400453,0.3347,0.8447
65.0,0.0008999999845400453,0.3546,0.9301
70.0,0.0008999999845400453,0.3605,0.9906
