Flip Percentage,Independence (M_ind),Separation (M_sep),Sufficiency (M_suff)
0.0,0.021199999377131462,0.0433,0.032
5.0,0.021199999377131462,0.0433,0.032
10.0,0.021199999377131462,0.0433,0.032
15.0,0.021199999377131462,0.0433,0.032
20.0,0.021199999377131462,0.0433,0.032
25.0,0.021199999377131462,0.0433,0.032
30.0,0.021199999377131462,0.0433,0.032
35.0,0.021199999377131462,0.0433,0.032
40.0,0.021199999377131462,0.0433,0.032
45.0,0.021199999377131462,0.0433,0.032
50.0,0.021199999377131462,0.0433,0.032
55.00000000000001,0.021199999377131462,0.0433,0.032
60.0,0.021199999377131462,0.0433,0.032
65.0,0.021199999377131462,0.0433,0.032
70.0,0.021199999377131462,0.0433,0.032
