Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
0.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
5.0,Male,0.8387,0.1577,0.4906,0.9204,0.0796,0.5094,0.5909,0.8851,0.7055,0.5361
5.0,Female,0.794,0.1888,0.4545,0.873,0.127,0.5455,0.4545,0.873,0.6638,0.4545
10.0,Male,0.8351,0.1326,0.4151,0.9336,0.0664,0.5849,0.5946,0.8719,0.6744,0.4889
10.0,Female,0.7554,0.1974,0.3962,0.8611,0.1389,0.6038,0.4565,0.8289,0.6287,0.4242
15.0,Male,0.828,0.147,0.434,0.9204,0.0796,0.566,0.561,0.8739,0.6772,0.4894
15.0,Female,0.6524,0.3348,0.4754,0.7151,0.2849,0.5246,0.3718,0.7935,0.5953,0.4173
20.0,Male,0.8244,0.1505,0.434,0.9159,0.0841,0.566,0.5476,0.8734,0.6749,0.4842
20.0,Female,0.6481,0.3219,0.4507,0.7346,0.2654,0.5493,0.4267,0.7532,0.5926,0.4384
25.0,Male,0.8315,0.1505,0.4528,0.9204,0.0796,0.5472,0.5714,0.8776,0.6866,0.5053
25.0,Female,0.6438,0.3562,0.5,0.7161,0.2839,0.5,0.4699,0.74,0.6081,0.4845
30.0,Male,0.828,0.1254,0.3774,0.9336,0.0664,0.6226,0.5714,0.8648,0.6555,0.4545
30.0,Female,0.6223,0.3433,0.4535,0.7211,0.2789,0.5465,0.4875,0.6928,0.5873,0.4699
35.0,Male,0.81,0.1577,0.4151,0.9027,0.0973,0.5849,0.5,0.8681,0.6589,0.4536
35.0,Female,0.5365,0.5279,0.5743,0.5076,0.4924,0.4257,0.4715,0.6091,0.5409,0.5179
40.0,Male,0.8208,0.1039,0.3019,0.9425,0.0575,0.6981,0.5517,0.852,0.6222,0.3902
40.0,Female,0.5236,0.4421,0.4643,0.5785,0.4215,0.5357,0.5049,0.5385,0.5214,0.4837
45.0,Male,0.8208,0.1039,0.3019,0.9425,0.0575,0.6981,0.5517,0.852,0.6222,0.3902
45.0,Female,0.5279,0.4549,0.4833,0.5752,0.4248,0.5167,0.5472,0.5118,0.5293,0.5133
50.0,Male,0.8065,0.1613,0.4151,0.8982,0.1018,0.5849,0.4889,0.8675,0.6567,0.449
50.0,Female,0.5536,0.5064,0.5538,0.5534,0.4466,0.4462,0.6102,0.4957,0.5536,0.5806
55.00000000000001,Male,0.8065,0.2043,0.5283,0.8717,0.1283,0.4717,0.4912,0.8874,0.7,0.5091
55.00000000000001,Female,0.5494,0.5837,0.6084,0.4556,0.5444,0.3916,0.6397,0.4227,0.532,0.6237
60.0,Male,0.8065,0.1828,0.4717,0.885,0.115,0.5283,0.4902,0.8772,0.6783,0.4808
60.0,Female,0.5622,0.6266,0.6447,0.4074,0.5926,0.3553,0.6712,0.3793,0.5261,0.6577
65.0,Male,0.7993,0.1971,0.4906,0.8717,0.1283,0.5094,0.4727,0.8795,0.6811,0.4815
65.0,Female,0.5794,0.691,0.6933,0.3143,0.6857,0.3067,0.7019,0.3056,0.5038,0.6975
70.0,Male,0.8029,0.1935,0.4906,0.8761,0.1239,0.5094,0.4815,0.88,0.6833,0.486
70.0,Female,0.6009,0.7124,0.7039,0.2593,0.7407,0.2961,0.759,0.209,0.4816,0.7304
