Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7895,0.2211,0.5294,0.8462,0.1538,0.4706,0.4286,0.8919,0.6878,0.4737
0.0,Female,0.7753,0.2423,0.55,0.8235,0.1765,0.45,0.4,0.8953,0.6868,0.4632
5.0,Male,0.8281,0.1544,0.451,0.9103,0.0897,0.549,0.5227,0.8838,0.6806,0.4842
5.0,Female,0.7577,0.2423,0.5,0.8128,0.1872,0.5,0.3636,0.8837,0.6564,0.4211
10.0,Male,0.8316,0.1649,0.4902,0.906,0.094,0.5098,0.5319,0.8908,0.6981,0.5102
10.0,Female,0.7533,0.2467,0.5,0.8075,0.1925,0.5,0.3571,0.883,0.6537,0.4167
15.0,Male,0.8175,0.207,0.5686,0.8718,0.1282,0.4314,0.4915,0.9027,0.7202,0.5273
15.0,Female,0.7313,0.2952,0.575,0.7647,0.2353,0.425,0.3433,0.8938,0.6699,0.4299
20.0,Male,0.8386,0.1439,0.451,0.9231,0.0769,0.549,0.561,0.8852,0.687,0.5
20.0,Female,0.6872,0.3392,0.575,0.7112,0.2888,0.425,0.2987,0.8867,0.6431,0.3932
25.0,Male,0.807,0.1825,0.4706,0.8803,0.1197,0.5294,0.4615,0.8841,0.6755,0.466
25.0,Female,0.6211,0.3965,0.55,0.6364,0.3636,0.45,0.2444,0.8686,0.5932,0.3385
30.0,Male,0.793,0.2246,0.549,0.8462,0.1538,0.451,0.4375,0.8959,0.6976,0.487
30.0,Female,0.6167,0.4185,0.6,0.6203,0.3797,0.4,0.2526,0.8788,0.6102,0.3556
35.0,Male,0.814,0.1965,0.5294,0.8761,0.1239,0.4706,0.4821,0.8952,0.7027,0.5047
35.0,Female,0.6035,0.4493,0.65,0.5936,0.4064,0.35,0.2549,0.888,0.6218,0.3662
40.0,Male,0.7965,0.2351,0.5882,0.8419,0.1581,0.4118,0.4478,0.9037,0.7151,0.5085
40.0,Female,0.5595,0.511,0.7,0.5294,0.4706,0.3,0.2414,0.8919,0.6147,0.359
45.0,Male,0.793,0.2456,0.6078,0.8333,0.1667,0.3922,0.4429,0.907,0.7206,0.5124
45.0,Female,0.5859,0.511,0.775,0.5455,0.4545,0.225,0.2672,0.9189,0.6602,0.3974
50.0,Male,0.7579,0.2737,0.5882,0.7949,0.2051,0.4118,0.3846,0.8986,0.6916,0.4651
50.0,Female,0.5507,0.5639,0.825,0.492,0.508,0.175,0.2578,0.9293,0.6585,0.3929
55.00000000000001,Male,0.7684,0.2702,0.6078,0.8034,0.1966,0.3922,0.4026,0.9038,0.7056,0.4844
55.00000000000001,Female,0.5198,0.6123,0.875,0.4439,0.5561,0.125,0.2518,0.9432,0.6594,0.3911
60.0,Male,0.7614,0.2702,0.5882,0.7991,0.2009,0.4118,0.3896,0.899,0.6937,0.4688
60.0,Female,0.4449,0.6784,0.85,0.3583,0.6417,0.15,0.2208,0.9178,0.6041,0.3505
65.0,Male,0.786,0.2526,0.6078,0.8248,0.1752,0.3922,0.4306,0.9061,0.7163,0.5041
65.0,Female,0.4361,0.6872,0.85,0.3476,0.6524,0.15,0.2179,0.9155,0.5988,0.3469
70.0,Male,0.786,0.2596,0.6275,0.8205,0.1795,0.3725,0.4324,0.91,0.724,0.512
70.0,Female,0.4097,0.7225,0.875,0.3102,0.6898,0.125,0.2134,0.9206,0.5926,0.3431
