Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
0.0,Female,0.7848,0.211,0.4865,0.84,0.16,0.5135,0.36,0.8984,0.6632,0.4138
5.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
5.0,Female,0.7637,0.211,0.4348,0.8429,0.1571,0.5652,0.4,0.861,0.6389,0.4167
10.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
10.0,Female,0.7215,0.211,0.3571,0.8343,0.1657,0.6429,0.4,0.8075,0.5957,0.3774
15.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
15.0,Female,0.7046,0.211,0.3438,0.8382,0.1618,0.6562,0.44,0.7754,0.591,0.386
20.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
20.0,Female,0.6793,0.211,0.3289,0.8447,0.1553,0.6711,0.5,0.7273,0.5868,0.3968
25.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
25.0,Female,0.6667,0.211,0.3253,0.8506,0.1494,0.6747,0.54,0.7005,0.588,0.406
30.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
30.0,Female,0.6498,0.211,0.3146,0.8514,0.1486,0.6854,0.56,0.6738,0.583,0.4029
35.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
35.0,Female,0.616,0.211,0.2929,0.8478,0.1522,0.7071,0.58,0.6257,0.5704,0.3893
40.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
40.0,Female,0.5949,0.211,0.287,0.8527,0.1473,0.713,0.62,0.5882,0.5699,0.3924
45.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
45.0,Female,0.5781,0.211,0.2881,0.8655,0.1345,0.7119,0.68,0.5508,0.5768,0.4048
50.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
50.0,Female,0.5612,0.211,0.2857,0.8739,0.1261,0.7143,0.72,0.5187,0.5798,0.4091
55.00000000000001,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
55.00000000000001,Female,0.5148,0.211,0.2628,0.86,0.14,0.7372,0.72,0.4599,0.5614,0.385
60.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
60.0,Female,0.4768,0.211,0.25,0.8539,0.1461,0.75,0.74,0.4064,0.552,0.3737
65.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
65.0,Female,0.443,0.211,0.2469,0.8667,0.1333,0.7531,0.8,0.3476,0.5568,0.3774
70.0,Male,0.7964,0.1891,0.463,0.8778,0.1222,0.537,0.4808,0.87,0.6704,0.4717
70.0,Female,0.4008,0.211,0.2386,0.8689,0.1311,0.7614,0.84,0.2834,0.5537,0.3717
