Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
0.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
5.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
5.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
10.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
10.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
15.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
15.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
20.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
20.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
25.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
25.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
30.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
30.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
35.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
35.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
40.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
40.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
45.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
45.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
50.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
50.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
55.00000000000001,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
55.00000000000001,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
60.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
60.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
65.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
65.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
70.0,Male,0.8459,0.1649,0.5283,0.9204,0.0796,0.4717,0.6087,0.8927,0.7243,0.5657
70.0,Female,0.8369,0.1631,0.5,0.9026,0.0974,0.5,0.5,0.9026,0.7013,0.5
