Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
0.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
5.0,Male,0.8015,0.206,0.5192,0.8698,0.1302,0.4808,0.4909,0.8821,0.6945,0.5047
5.0,Female,0.7429,0.2531,0.4898,0.8061,0.1939,0.5102,0.3871,0.8634,0.648,0.4324
10.0,Male,0.809,0.2135,0.5577,0.8698,0.1302,0.4423,0.5088,0.8905,0.7137,0.5321
10.0,Female,0.6653,0.3184,0.4667,0.7297,0.2703,0.5333,0.359,0.8084,0.5982,0.4058
15.0,Male,0.8165,0.206,0.5577,0.8791,0.1209,0.4423,0.5273,0.8915,0.7184,0.5421
15.0,Female,0.6245,0.3837,0.5132,0.6746,0.3254,0.4868,0.4149,0.755,0.5939,0.4588
20.0,Male,0.8015,0.221,0.5577,0.8605,0.1395,0.4423,0.4915,0.8894,0.7091,0.5225
20.0,Female,0.5796,0.4367,0.5244,0.6074,0.3926,0.4756,0.4019,0.7174,0.5659,0.455
25.0,Male,0.794,0.2135,0.5192,0.8605,0.1395,0.4808,0.4737,0.881,0.6898,0.4954
25.0,Female,0.5347,0.4694,0.5053,0.5533,0.4467,0.4947,0.4174,0.6385,0.5293,0.4571
30.0,Male,0.8127,0.2022,0.5385,0.8791,0.1209,0.4615,0.5185,0.8873,0.7088,0.5283
30.0,Female,0.4898,0.5143,0.5048,0.4786,0.5214,0.4952,0.4206,0.563,0.4917,0.4589
35.0,Male,0.8127,0.1873,0.5,0.8884,0.1116,0.5,0.52,0.8802,0.6942,0.5098
35.0,Female,0.5265,0.5837,0.6154,0.4453,0.5547,0.3846,0.5035,0.5588,0.5303,0.5538
40.0,Male,0.8202,0.1873,0.5192,0.893,0.107,0.4808,0.54,0.8848,0.7061,0.5294
40.0,Female,0.5143,0.6449,0.656,0.3667,0.6333,0.344,0.519,0.5057,0.5113,0.5795
45.0,Male,0.8052,0.1798,0.4615,0.8884,0.1116,0.5385,0.5,0.8721,0.675,0.48
45.0,Female,0.5102,0.649,0.6423,0.3426,0.6574,0.3577,0.5535,0.4302,0.4925,0.5946
50.0,Male,0.8127,0.1648,0.4423,0.9023,0.0977,0.5577,0.5227,0.87,0.6723,0.4792
50.0,Female,0.5592,0.6857,0.7027,0.3402,0.6598,0.2973,0.619,0.4286,0.5215,0.6582
55.00000000000001,Male,0.8277,0.1648,0.4808,0.9116,0.0884,0.5192,0.5682,0.8789,0.6962,0.5208
55.00000000000001,Female,0.5837,0.7551,0.7677,0.2667,0.7333,0.2323,0.6432,0.4,0.5172,0.7
60.0,Male,0.8202,0.1573,0.4423,0.9116,0.0884,0.5577,0.5476,0.8711,0.677,0.4894
60.0,Female,0.6041,0.7796,0.7798,0.2208,0.7792,0.2202,0.6859,0.3148,0.5003,0.7298
65.0,Male,0.824,0.1685,0.4808,0.907,0.093,0.5192,0.5556,0.8784,0.6939,0.5155
65.0,Female,0.6041,0.8082,0.7919,0.1528,0.8472,0.2081,0.6919,0.234,0.4723,0.7385
70.0,Male,0.8202,0.1423,0.4038,0.9209,0.0791,0.5962,0.5526,0.8646,0.6624,0.4667
70.0,Female,0.6612,0.8408,0.8324,0.1333,0.8667,0.1676,0.7476,0.2051,0.4829,0.7877
