Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.7978,0.2285,0.566,0.8551,0.1449,0.434,0.4918,0.8883,0.7106,0.5263
0.0,Female,0.8286,0.1633,0.4737,0.8937,0.1063,0.5263,0.45,0.9024,0.6837,0.4615
5.0,Male,0.8165,0.2247,0.6038,0.8692,0.1308,0.3962,0.5333,0.8986,0.7365,0.5664
5.0,Female,0.7837,0.2163,0.5,0.8357,0.1643,0.5,0.3585,0.901,0.6679,0.4176
10.0,Male,0.8165,0.2247,0.6038,0.8692,0.1308,0.3962,0.5333,0.8986,0.7365,0.5664
10.0,Female,0.7347,0.2653,0.5,0.7778,0.2222,0.5,0.2923,0.8944,0.6389,0.3689
15.0,Male,0.809,0.2172,0.566,0.8692,0.1308,0.434,0.5172,0.89,0.7176,0.5405
15.0,Female,0.702,0.3224,0.5789,0.7246,0.2754,0.4211,0.2785,0.9036,0.6518,0.3761
20.0,Male,0.8052,0.2135,0.5472,0.8692,0.1308,0.4528,0.5088,0.8857,0.7082,0.5273
20.0,Female,0.6939,0.3388,0.6053,0.7101,0.2899,0.3947,0.2771,0.9074,0.6577,0.3802
25.0,Male,0.824,0.2022,0.566,0.8879,0.1121,0.434,0.5556,0.892,0.7269,0.5607
25.0,Female,0.6449,0.4041,0.6579,0.6425,0.3575,0.3421,0.2525,0.911,0.6502,0.365
30.0,Male,0.809,0.2097,0.5472,0.8738,0.1262,0.4528,0.5179,0.8863,0.7105,0.5321
30.0,Female,0.5959,0.4694,0.7105,0.5749,0.4251,0.2895,0.2348,0.9154,0.6427,0.3529
35.0,Male,0.824,0.2097,0.5849,0.8832,0.1168,0.4151,0.5536,0.8957,0.734,0.5688
35.0,Female,0.4816,0.5592,0.6316,0.4541,0.5459,0.3684,0.1752,0.8704,0.5428,0.2743
40.0,Male,0.8052,0.206,0.5283,0.8738,0.1262,0.4717,0.5091,0.8821,0.7011,0.5185
40.0,Female,0.4694,0.5633,0.6053,0.4444,0.5556,0.3947,0.1667,0.8598,0.5249,0.2614
45.0,Male,0.8127,0.1985,0.5283,0.8832,0.1168,0.4717,0.5283,0.8832,0.7057,0.5283
45.0,Female,0.4694,0.6041,0.7368,0.4203,0.5797,0.2632,0.1892,0.8969,0.5786,0.3011
50.0,Male,0.809,0.2022,0.5283,0.8785,0.1215,0.4717,0.5185,0.8826,0.7034,0.5234
50.0,Female,0.4122,0.6694,0.7632,0.3478,0.6522,0.2368,0.1768,0.8889,0.5555,0.2871
55.00000000000001,Male,0.809,0.2022,0.5283,0.8785,0.1215,0.4717,0.5185,0.8826,0.7034,0.5234
55.00000000000001,Female,0.3878,0.7102,0.8158,0.3092,0.6908,0.1842,0.1782,0.9014,0.5625,0.2925
60.0,Male,0.8127,0.191,0.5094,0.8879,0.1121,0.4906,0.5294,0.8796,0.6986,0.5192
60.0,Female,0.3633,0.7673,0.9211,0.2609,0.7391,0.0789,0.1862,0.9474,0.591,0.3097
65.0,Male,0.8165,0.1948,0.5283,0.8879,0.1121,0.4717,0.5385,0.8837,0.7081,0.5333
65.0,Female,0.2939,0.8204,0.8684,0.1884,0.8116,0.1316,0.1642,0.8864,0.5284,0.2762
70.0,Male,0.8202,0.1835,0.5094,0.8972,0.1028,0.4906,0.551,0.8807,0.7033,0.5294
70.0,Female,0.2898,0.8408,0.9211,0.1739,0.8261,0.0789,0.1699,0.9231,0.5475,0.2869
