Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
0.0,Female,0.8112,0.1968,0.525,0.866,0.134,0.475,0.4286,0.905,0.6955,0.4719
5.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
5.0,Female,0.7751,0.1968,0.4314,0.8636,0.1364,0.5686,0.449,0.855,0.6475,0.44
10.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
10.0,Female,0.7349,0.1968,0.3692,0.8641,0.1359,0.6308,0.4898,0.795,0.6167,0.4211
15.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
15.0,Female,0.6867,0.1968,0.3165,0.8588,0.1412,0.6835,0.5102,0.73,0.5876,0.3906
20.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
20.0,Female,0.6506,0.1968,0.2889,0.8553,0.1447,0.7111,0.5306,0.68,0.5721,0.3741
25.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
25.0,Female,0.6185,0.1968,0.27,0.8523,0.1477,0.73,0.551,0.635,0.5612,0.3624
30.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
30.0,Female,0.6104,0.1968,0.2736,0.8601,0.1399,0.7264,0.5918,0.615,0.5669,0.3742
35.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
35.0,Female,0.5944,0.1968,0.2719,0.8667,0.1333,0.7281,0.6327,0.585,0.5693,0.3804
40.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
40.0,Female,0.5663,0.1968,0.2602,0.8651,0.1349,0.7398,0.6531,0.545,0.5626,0.3721
45.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
45.0,Female,0.5261,0.1968,0.2482,0.8661,0.1339,0.7518,0.6939,0.485,0.5571,0.3656
50.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
50.0,Female,0.4859,0.1968,0.2313,0.8529,0.1471,0.7687,0.6939,0.435,0.5421,0.3469
55.00000000000001,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
55.00000000000001,Female,0.4819,0.1968,0.2436,0.8817,0.1183,0.7564,0.7755,0.41,0.5627,0.3707
60.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
60.0,Female,0.4297,0.1968,0.2343,0.8919,0.1081,0.7657,0.8367,0.33,0.5631,0.3661
65.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
65.0,Female,0.3815,0.1968,0.2222,0.8833,0.1167,0.7778,0.8571,0.265,0.5528,0.3529
70.0,Male,0.8061,0.2205,0.5686,0.8632,0.1368,0.4314,0.5,0.8927,0.7159,0.5321
70.0,Female,0.3534,0.1968,0.2172,0.8824,0.1176,0.7828,0.8776,0.225,0.5498,0.3482
