Flip Percentage,Group,Accuracy,Selection rate,TPR,TNR,FPR,FNR,PPV,NPV,ROC AUC,F1
0.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
0.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
5.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
5.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
10.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
10.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
15.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
15.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
20.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
20.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
25.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
25.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
30.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
30.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
35.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
35.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
40.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
40.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
45.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
45.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
50.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
50.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
55.00000000000001,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
55.00000000000001,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
60.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
60.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
65.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
65.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
70.0,Male,0.8165,0.1835,0.5,0.893,0.107,0.5,0.5306,0.8807,0.6965,0.5149
70.0,Female,0.8163,0.1878,0.5128,0.8738,0.1262,0.4872,0.4348,0.9045,0.6933,0.4706
